QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Bellman Errors 1 Mean,Bellman Errors 1 Std,Bellman Errors 1 Max,Bellman Errors 1 Min,Bellman Errors 2 Mean,Bellman Errors 2 Std,Bellman Errors 2 Max,Bellman Errors 2 Min,Policy Action Mean,Policy Action Std,Policy Action Max,Policy Action Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,hand_distance Mean,hand_distance Std,hand_distance Max,hand_distance Min,Final hand_distance Mean,Final hand_distance Std,Final hand_distance Max,Final hand_distance Min,hand_distance_l1 Mean,hand_distance_l1 Std,hand_distance_l1 Max,hand_distance_l1 Min,Final hand_distance_l1 Mean,Final hand_distance_l1 Std,Final hand_distance_l1 Max,Final hand_distance_l1 Min,hand_distance_l2 Mean,hand_distance_l2 Std,hand_distance_l2 Max,hand_distance_l2 Min,Final hand_distance_l2 Mean,Final hand_distance_l2 Std,Final hand_distance_l2 Max,Final hand_distance_l2 Min,hand_success Mean,hand_success Std,hand_success Max,hand_success Min,Final hand_success Mean,Final hand_success Std,Final hand_success Max,Final hand_success Min,image_dist Mean,image_dist Std,image_dist Max,image_dist Min,Final image_dist Mean,Final image_dist Std,Final image_dist Max,Final image_dist Min,image_success Mean,image_success Std,image_success Max,image_success Min,Final image_success Mean,Final image_success Std,Final image_success Max,Final image_success Min,vae_mdist Mean,vae_mdist Std,vae_mdist Max,vae_mdist Min,Final vae_mdist Mean,Final vae_mdist Std,Final vae_mdist Max,Final vae_mdist Min,vae_success Mean,vae_success Std,vae_success Max,vae_success Min,Final vae_success Mean,Final vae_success Std,Final vae_success Max,Final vae_success Min,vae_dist Mean,vae_dist Std,vae_dist Max,vae_dist Min,Final vae_dist Mean,Final vae_dist Std,Final vae_dist Max,Final vae_dist Min,AverageReturn,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
402.15704,401.97345,0.111763895,-0.0077973125,0.002866775,0.00012535136,-0.015761692,-0.016135203,0.006325466,-0.00524596,-0.037150748,-17.259945,10.225233,-0.014350433,-37.958282,402.15704,341.52457,1439.88,5.757713e-05,401.97342,341.50226,1439.3738,3.2363479e-09,-0.005731272,0.004010921,0.0022644477,-0.021702945,-26.8013968384128,1.7755100881828418,-21.982828402853347,-30.01762903984407,-1340.06984192064,38.54310086747826,-1276.1640230318035,-1406.8975374442718,0.021272082,0.08951724,0.1517119,-0.08746132,20,-24.0107082820604,5.334823870837319,-10.67322769839088,-39.83014541103532,-1200.53541410302,129.25295191700025,-1026.9655437480305,-1466.2541593034694,0.0201569733967564,0.3816824593937762,1.0,-1.0,0.18339498023272124,0.06470754826529838,0.31184248789231717,0.011479033658710489,0.16784624437324766,0.055314005142779385,0.24928809487634357,0.06486766230572208,0.28883222556303734,0.10712150963274315,0.49444257502350974,0.011914136258546416,0.26042157855895304,0.09537712232897794,0.3967230178620191,0.07617102997061534,0.18339498023272124,0.06470754826529838,0.31184248789231717,0.011479033658710489,0.16784624437324766,0.055314005142779385,0.24928809487634357,0.06486766230572208,0.06666666666666667,0.2494438257849294,1.0,0.0,0.0,0.0,0.0,0.0,31.064542193953546,7.654962976602905,47.40979901535013,4.7558458735631115,31.00902662629174,7.022481900055713,46.262018087953805,18.043260416113146,-0.9885714285714285,0.10629185850136157,0.0,-1.0,-1.0,0.0,-1.0,-1.0,158932.61361242947,54925.444855439164,262382.3699612604,56987.01269969707,146838.90558186301,11740.354533881964,170186.53004469545,129393.04547245058,0.0,0.0,0,0,0.0,0.0,0,0,26.8013968384128,1.7755100881828416,30.01762903984407,21.98282840285335,23.093017033527936,0.7037332612653016,24.333786259318654,21.98282840285335,-1340.06984192064,4,4000,80,0.04381262697279453,0.03518688600161113,15.025151975969493,15.104151488943899,191.02431574578077,3
393.93408,395.42407,0.9788033,-0.65420204,0.18944626,-0.24603751,-1.2036402,-0.6183412,0.19189459,-0.27713045,-1.1679437,-17.751427,10.012523,-0.014147286,-36.465225,393.93408,333.43698,1282.6409,0.026295839,395.42407,334.58383,1286.2351,0.03525028,0.026563548,0.08220314,0.2163425,-0.09589582,-13.368103910364884,3.344438828781956,-8.404749292997876,-26.949552838709668,-668.4051955182442,34.154962264945866,-592.2202981212137,-749.994567633971,0.41082102,0.8869495,1.0,-1.0,20,-17.186017570081013,4.8820698315034345,-8.34968889122464,-34.15025907779556,-859.3008785040508,157.36842941475425,-623.8184481396146,-1132.2921668958897,0.23398988040301313,0.8249355338162311,1.0,-1.0,0.24120691333641145,0.09263791569672727,0.38812709465640466,0.023855572042059205,0.2754575340046054,0.08212215909455571,0.38812709465640466,0.1411444415991125,0.337615236503627,0.12115030388531492,0.6291238261448031,0.036609530571068416,0.3848694425045708,0.10945751004056455,0.6291238261448031,0.2279424260485697,0.24120691333641145,0.09263791569672727,0.38812709465640466,0.023855572042059205,0.2754575340046054,0.08212215909455571,0.38812709465640466,0.1411444415991125,0.029523809523809525,0.16926947212953475,1.0,0.0,0.0,0.0,0.0,0.0,43.17774762738604,7.542482206969803,57.07498268590796,8.94533185173788,47.84407380094604,4.743375834195814,55.862629611922,37.60706126893804,-0.9990476190476191,0.0308459709346698,0.0,-1.0,-1.0,0.0,-1.0,-1.0,31208.875610619372,21006.78533592919,158843.16194239428,9034.320021644733,31420.17300862962,5998.124560219814,46570.6573605669,20092.134722689127,0.0,0.0,0,0,0.0,0.0,0,0,13.368103910364884,3.344438828781956,26.949552838709668,8.404749292997876,12.939426189385612,1.2417121201147945,15.414882519734531,10.853964350659613,-668.4051955182442,4004,5000,100,28.863386922203063,19.957265225006267,14.437894218157453,63.25854636536678,253.37575512014155,4
41.645943,45.421715,95.94632,-104.55177,68.59555,-6.704051,-248.32329,-104.41325,68.35,-7.0812416,-248.17003,-102.74513,67.93906,-4.8893433,-244.78229,41.645947,104.50665,969.6587,0.00020251362,45.421715,115.40725,1098.9474,0.00020894245,0.3197995,0.88771564,1.0,-1.0,-15.476731289568542,4.742266576753889,-8.261476641981915,-34.19089414850138,-773.8365644784271,142.20011416741153,-581.5247802904482,-1040.5136670508518,0.15951853,0.9579509,1.0,-1.0,20,-13.741154994552977,4.127702421186693,-6.685012460944585,-33.07865589276474,-687.0577497276488,55.14560428616985,-557.0861517954354,-822.677892916719,0.2540626542330047,0.8124777550541501,1.0,-1.0,0.1981168259159915,0.08567961289438532,0.33344876782321287,0.022793666099911694,0.21637277519156678,0.08980465646085352,0.32929379525967634,0.05764049066936043,0.2929079954981229,0.13133445467102564,0.5350929406693454,0.0312726027693514,0.32545995834636593,0.14018714471630875,0.5106215870315307,0.08056023477666151,0.1981168259159915,0.08567961289438532,0.33344876782321287,0.022793666099911694,0.21637277519156678,0.08980465646085352,0.32929379525967634,0.05764049066936043,0.03333333333333333,0.1795054935711501,1.0,0.0,0.047619047619047616,0.21295885499998,1.0,0.0,38.93059842050956,8.201094073490768,56.67399477686132,12.502604726693617,39.817376432904325,8.073991536512672,51.247877610989036,19.421902680461944,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,32795.054800168764,25897.599720934275,197677.111888436,7066.780194135784,28089.14122622689,8580.278524628191,44361.98131438985,12602.356054498958,0.0,0.0,0,0,0.0,0.0,0,0,15.476731289568542,4.742266576753889,34.19089414850138,8.261476641981915,14.329182668501165,2.8692661782327127,21.1067262876997,9.346617838945276,-773.8365644784271,8004,6000,120,33.58231707912637,19.05038629000046,15.271260223045829,67.90396359217266,320.3633723743187,5
26.907684,33.67526,159.78784,-168.29225,106.82297,-9.257125,-369.39478,-168.02936,106.554474,-8.321717,-366.0163,-168.02037,107.54178,-9.081334,-372.54596,26.907684,53.068356,416.17905,0.00092736864,33.67526,83.745766,826.44934,0.00014247258,0.22228424,0.85063666,1.0,-1.0,-12.344907724549826,4.674933652582608,-6.847270136017846,-35.064025315162915,-617.2453862274912,92.3952212553922,-504.76303981279744,-938.5175697738922,0.37178105,0.89729834,1.0,-1.0,20,-13.599058887064833,5.403349527587435,-6.627021583274854,-35.460482765984125,-679.9529443532417,98.2785927618809,-544.2739752408733,-893.1641623025579,0.2675347262840613,0.8141712317491744,1.0,-1.0,0.20168961740332217,0.07541529237934254,0.39445185296836527,0.019085245239462027,0.22196190867479454,0.07955261646820308,0.39445185296836527,0.10592844528576482,0.303561847953052,0.11169456300882923,0.6225745730583466,0.024123985209415354,0.33480474941938876,0.12537737664562312,0.6225745730583466,0.15584405577741733,0.20168961740332217,0.07541529237934254,0.39445185296836527,0.019085245239462027,0.22196190867479454,0.07955261646820308,0.39445185296836527,0.10592844528576482,0.017142857142857144,0.1298036193325777,1.0,0.0,0.0,0.0,0.0,0.0,36.62870474831563,7.061059819682673,56.740158870101716,9.41353333055526,36.949557381754545,5.972460678153567,50.031155076388,20.137690584667695,-0.9990476190476191,0.030845970934669804,0.0,-1.0,-1.0,0.0,-1.0,-1.0,23934.693403566278,27391.084493307113,182323.92574765687,5753.472547071087,14596.99868757611,5183.740226453365,29161.63846645386,5840.2570497134675,0.0,0.0,0,0,0.0,0.0,0,0,12.344907724549826,4.674933652582608,35.064025315162915,6.847270136017846,10.118865728983414,3.4640093679610744,20.86113905877722,6.910273564210637,-617.2453862274912,12004,7000,140,33.78090068495658,18.142841166001745,15.384457800937525,67.30819965189585,387.895555529205,6
29.917465,31.299778,211.38568,-220.05283,140.2924,-6.5149093,-494.84586,-220.54645,140.0853,-8.047651,-495.02182,-219.58612,140.6781,-6.3365808,-496.63013,29.917465,55.55869,407.07446,5.1651383e-05,31.299776,44.095413,224.71536,6.6393055e-05,0.28896442,0.88721615,1.0,-1.0,-11.38488151493814,4.612296932203243,-7.105595835996719,-31.89700353479746,-569.2440757469071,60.089938440257484,-488.73397859293704,-778.2534357797582,0.41662237,0.8946606,1.0,-1.0,20,-13.14620694402033,5.633358192601561,-7.639808283192046,-35.49868148239376,-657.3103472010166,109.71609531896105,-541.7133889062206,-906.4675968676357,0.26220573845073064,0.8226426132570922,1.0,-1.0,0.26199097588502074,0.09974522031833023,0.4633381487418412,0.01567497589462088,0.28850609428501217,0.09189903403018579,0.4633381487418412,0.11566733919876514,0.39762613185510187,0.15853768775658478,0.7528082069084207,0.02009772576453077,0.4422411949065707,0.14949490040434926,0.7528082069084207,0.1946551832927032,0.26199097588502074,0.09974522031833023,0.4633381487418412,0.01567497589462088,0.28850609428501217,0.09189903403018579,0.4633381487418412,0.11566733919876514,0.01619047619047619,0.12620754601529105,1.0,0.0,0.0,0.0,0.0,0.0,38.71630960957624,6.398610638394749,54.979363784402224,6.661760593861,38.627286488195764,3.7799592582910884,47.57794874968854,30.91872666512722,-0.9980952380952381,0.04360199292289371,0.0,-1.0,-1.0,0.0,-1.0,-1.0,22335.206765752602,26909.721488527786,207467.6235718201,2959.922342933144,13851.557017090792,4220.167529992583,20581.36869156564,2972.4092230548463,0.0,0.0,0,0,0.0,0.0,0,0,11.38488151493814,4.612296932203243,31.89700353479746,7.105595835996719,9.165035598862241,2.161817138931894,17.180543897753118,7.127773140616449,-569.2440757469071,16004,8000,160,38.66277878105757,18.374057935994642,17.434752570879937,74.47158928793215,464.7104886861489,7
46.412384,43.53292,245.70798,-252.85477,171.15952,-2.6569552,-520.57513,-253.76517,171.57535,-0.836807,-521.0315,-254.93471,172.02856,-3.0613105,-546.48425,46.412384,91.36098,671.2824,0.0003269466,43.53292,88.82195,647.84296,2.42237e-06,0.3291728,0.8691571,1.0,-1.0,-11.160782763435417,4.4911428348153475,-7.693758670447724,-26.717543497271105,-558.0391381717709,33.3188087151072,-519.4304862728404,-640.7216294207971,0.43938565,0.8872984,1.0,-1.0,20,-12.254047125518303,5.121743047207655,-6.237448133822376,-33.127269806453214,-612.7023562759151,66.39721473483749,-522.084791622521,-826.1532030693346,0.38392141417388287,0.7843000699360742,1.0,-1.0,0.2536845234098013,0.1019259659335821,0.4539317653720877,0.03508519095682094,0.27216111965696793,0.10440880804878412,0.4539317653720877,0.05159665147956251,0.380570776212808,0.1605885262580571,0.7310779493622422,0.05184793930235651,0.4131056735907596,0.16662921355441138,0.7310779493622422,0.08765104299643711,0.2536845234098013,0.1019259659335821,0.4539317653720877,0.03508519095682094,0.27216111965696793,0.10440880804878412,0.4539317653720877,0.05159665147956251,0.04,0.19595917942265423,1.0,0.0,0.047619047619047616,0.21295885499998,1.0,0.0,38.84753012732227,6.286200434954291,55.57136376397681,18.205759763913036,38.16340875558762,4.904306431283385,44.519692949990116,24.568598970297877,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,22900.73279029009,27189.575967418936,209363.13324128033,6322.259070374649,13453.603186625998,3989.5068452277796,24703.332255275538,6354.153689413718,0.0,0.0,0,0,0.0,0.0,0,0,11.160782763435417,4.4911428348153475,26.717543497271105,7.693758670447724,8.708250704886849,0.8398348643780381,10.717905737792165,7.784993325853658,-558.0391381717709,20004,9000,180,44.35031399894069,20.7188418730002,18.587657757998386,83.65681362993928,547.1736694861029,8
40.373497,49.3177,279.98218,-291.1181,189.16708,-7.586481,-674.3957,-291.0299,188.93907,-7.2636437,-674.28467,-291.4135,189.6113,-7.074821,-700.7417,40.373497,95.64126,694.1122,0.003605202,49.317696,133.15303,973.8045,0.0020389354,0.33503684,0.8692604,1.0,-1.0,-16.175232293311502,5.913724846081785,-6.468428510581086,-34.49113849510246,-808.7616146655752,202.27966061712192,-474.51959367320063,-1053.5674587229712,0.33385214,0.8379312,1.0,-1.0,20,-12.752229594447018,5.632175821027754,-6.435702617323468,-35.31465356437018,-637.611479722351,126.15368724203124,-508.22623993531477,-920.1464883483407,0.39365727675877643,0.7658096503500014,1.0,-1.0,0.21884163929597622,0.08596357259410659,0.4576499696452239,0.044863734741824784,0.23007515584884464,0.08872997279032473,0.4576499696452239,0.12380275469133929,0.32652698192515534,0.1343171326635459,0.7561555044013631,0.050221694927483025,0.3419769158977256,0.14061212418953467,0.7561555044013631,0.17863058513902697,0.21884163929597622,0.08596357259410659,0.4576499696452239,0.044863734741824784,0.23007515584884464,0.08872997279032473,0.4576499696452239,0.12380275469133929,0.007619047619047619,0.08695399779438724,1.0,0.0,0.0,0.0,0.0,0.0,36.763899589387904,7.673144671144164,56.575099504029254,16.06437932097251,36.95510897276423,7.494659424932028,56.03033121575881,26.62256474270334,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,33932.46767037656,21188.370306390785,220574.06333631562,5224.976299337013,30197.441426092526,14381.64243651309,55325.928347945744,5266.088125262571,0.0,0.0,0,0,0.0,0.0,0,0,16.175232293311502,5.913724846081785,34.49113849510246,6.468428510581086,15.025128952712496,5.624207869378628,23.36310461441711,6.523787815850472,-808.7616146655752,24004,10000,200,39.14195216289954,19.497506723004335,18.109288425082923,76.7487473109868,624.1276558320751,9
50.22402,59.94942,303.97092,-315.34528,195.30302,-7.510807,-587.7926,-315.9818,194.41983,-8.784318,-594.0886,-312.63782,192.71033,-8.224621,-583.34875,50.224022,75.938034,365.25452,3.5869016e-05,59.94942,93.72122,458.63004,0.00045504514,0.33120355,0.88062114,1.0,-1.0,-13.196991096902716,4.742532131750273,-6.696260557648106,-33.105811193243476,-659.8495548451358,101.47368682213354,-500.53797212385217,-785.252512975218,-0.041213036,0.7844857,1.0,-1.0,20,-14.962469246207196,5.232526106889404,-7.475960232933521,-34.66988821454485,-748.1234623103599,122.81036639995594,-521.9625460258085,-903.7631732684871,0.17081667460946615,0.7036321521814135,1.0,-1.0,0.23457577800303428,0.08374130014315763,0.4210454506197862,0.06611794057525923,0.24649673184306173,0.08674753451699213,0.4210454506197862,0.08474932747098743,0.34911999847613784,0.1339227211825656,0.6342048542717006,0.09231310573891237,0.3684670282391143,0.1400253827858444,0.6342048542717006,0.10949080356547893,0.23457577800303428,0.08374130014315763,0.4210454506197862,0.06611794057525923,0.24649673184306173,0.08674753451699213,0.4210454506197862,0.08474932747098743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.03509322413783,5.437958345912564,52.64031752947543,14.354434187857,36.06789275623682,4.513322646595752,46.108930915695595,27.009808405394455,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,22820.9403722537,17852.62472757588,176207.50230941002,3827.3486633062776,18464.331009343157,7045.229266800951,30863.310069944157,3848.7964689602068,0.0,0.0,0,0,0.0,0.0,0,0,13.196991096902716,4.742532131750273,33.105811193243476,6.696260557648107,11.546059749008823,2.6742659197754186,14.597775576014445,6.961134289197392,-659.8495548451358,28004,11000,220,43.94238750007207,19.72064660099568,19.043933188055234,82.70696728912299,705.9665780611904,10
38.76109,43.53408,339.864,-347.4471,199.26967,-26.26543,-600.4509,-348.3721,200.67223,-25.041697,-606.54865,-347.0902,199.2968,-26.386353,-607.19763,38.761093,70.87814,328.8044,0.014455644,43.53408,88.93725,611.76965,0.00014752522,0.12633629,0.9276262,1.0,-1.0,-12.397762406830598,4.7215167479875,-7.0524567153953805,-33.85643454126706,-619.88812034153,84.33691782959059,-496.7540855848286,-759.0758729750524,0.10492085,0.75206554,1.0,-1.0,20,-14.402736980315568,4.881556808358279,-7.959463178053177,-35.82811898356604,-720.1368490157786,71.02350396723156,-550.0314483893687,-809.7517858878085,-0.11573094798499464,0.5835441970799125,1.0,-1.0,0.24666377902537334,0.09662488532963581,0.4335261493667409,0.019142020705469717,0.2649630624926943,0.1051828198847536,0.4335261493667409,0.09180612342387856,0.36749138151460886,0.14873873906842752,0.7059270636580626,0.03269686121159857,0.3965330377884492,0.16699021967167152,0.7059270636580626,0.14771545566896838,0.24666377902537334,0.09662488532963581,0.4335261493667409,0.019142020705469717,0.2649630624926943,0.1051828198847536,0.4335261493667409,0.09180612342387856,0.0038095238095238095,0.06160366334779515,1.0,0.0,0.0,0.0,0.0,0.0,37.322872781242836,7.721059007900476,55.14382550869996,7.029952942222143,36.54601427544438,6.769604339222565,52.63590709656773,24.178798927369517,-0.9990476190476191,0.0308459709346698,0.0,-1.0,-1.0,0.0,-1.0,-1.0,21345.80031741414,19692.95776222391,189477.34995507912,8146.469932871104,14614.653923372522,4825.960071876563,25806.43747924513,8230.183706460424,0.0,0.0,0,0,0.0,0.0,0,0,12.397762406830598,4.7215167479875,33.85643454126706,7.0524567153953805,10.246814820202085,2.456122922676255,13.777325772257965,7.067277003061052,-619.88812034153,32004,12000,240,37.46539228304755,18.84495051400154,17.446456160862,73.75679895791109,781.4986203150911,11
38.973007,42.38915,381.94528,-389.19205,210.45377,-17.833673,-707.9818,-390.16766,210.82529,-16.298208,-707.0218,-388.83606,210.20587,-18.452015,-702.64795,38.973007,73.55765,583.28046,0.00041309372,42.389145,71.42699,638.90247,0.00043508806,0.12397388,0.8794123,1.0,-1.0,-11.96190669530424,4.66919479813543,-7.410742876056525,-34.55615645932663,-598.095334765212,63.79684508865023,-507.02343281274557,-725.4133099536645,0.23111756,0.76294905,1.0,-1.0,20,-12.942406445988876,4.95556448997838,-6.939695382285803,-35.96174610372631,-647.1203222994438,63.32848664680328,-526.4520299104157,-751.9321697648737,0.052654718713889846,0.6512268223476328,1.0,-1.0,0.23539507123003947,0.09006530049673042,0.44540203083488517,0.014975047865020404,0.26415518889838874,0.08677389787059314,0.44540203083488517,0.09624903120421598,0.3572676089830158,0.14841307722304095,0.7373559461266818,0.02561662416960528,0.40894577530446546,0.14695340218530242,0.7373559461266818,0.13459209382442147,0.23539507123003947,0.09006530049673042,0.44540203083488517,0.014975047865020404,0.26415518889838874,0.08677389787059314,0.44540203083488517,0.09624903120421598,0.02095238095238095,0.14322492340653306,1.0,0.0,0.0,0.0,0.0,0.0,36.42678088995341,7.485547082197845,54.12813297104548,11.133872725884801,36.140150325023974,5.684859708545519,43.683043848580084,21.742050742119407,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,21203.575142591937,26281.1854550161,208792.96862885958,7262.855701977496,13485.276416880024,3315.9196155320114,20391.578331331544,7758.86306887702,0.0,0.0,0,0,0.0,0.0,0,0,11.96190669530424,4.66919479813543,34.55615645932663,7.410742876056525,9.767904134601357,1.8718527209924523,13.377761762123265,7.448733408073018,-598.095334765212,36004,13000,260,36.19455898700107,20.63362680600403,16.18841256295127,73.01659835595638,852.0714730320542,12
