train/epoch,train/Log Prob,train/KL,train/loss,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
10,-11351.1179296875,100.82094512939453,11358.99458984375,0.06380089,0.015552052,0.094655775,0.024756022,0.07538062,0.20305437,0.99982095,0.0,0.011579736,-11414.3982421875,58.18422737121582,11418.9439453125,0.078125
11,-11323.355205078125,99.03249740600586,11331.092177734376,0.034800105,0.015274985,0.06658605,0.002784201,0.046185832,0.16726238,0.9997171,0.0,0.011385734,-11379.94365234375,58.92377967834473,11384.5470703125,0.078125
12,-11299.902607421875,97.769506149292,11307.540830078126,0.015903022,0.010083319,0.0361634,-0.0014278088,0.032530833,0.1384016,0.99999976,0.0,0.016627822,-11373.487109375,54.0226390838623,11377.70751953125,0.078125
13,-11278.8937109375,97.00989448547364,11286.472626953126,0.06721707,0.017086113,0.09473312,0.018290771,0.07397276,0.23034114,0.9999771,0.0,0.006755714,-11340.9396484375,57.00460510253906,11345.3931640625,0.078125
14,-11264.186640625,96.35502014160156,11271.714384765624,0.05816254,0.013171223,0.08405295,0.032771576,0.06622033,0.21467654,0.9999788,0.0,0.008057787,-11354.15283203125,51.984200668334964,11358.2140625,0.078125
15,-11239.726279296876,93.51638786315918,11247.032236328125,0.07993238,0.015552972,0.10890876,0.04182583,0.08554621,0.23886187,1.0,0.0,0.0056138174,-11302.2748046875,54.44954605102539,11306.52861328125,0.078125
16,-11213.446474609374,92.71908615112305,11220.690166015625,0.03753095,0.015378918,0.07105133,0.0055159866,0.044248447,0.16787264,0.99999905,0.0,0.0067175026,-11298.0216796875,55.50436553955078,11302.3580078125,0.078125
17,-11189.283291015625,93.79659004211426,11196.611123046874,0.078081295,0.015443831,0.10403913,0.041526444,0.08351212,0.23539679,0.9999981,0.0,0.005430828,-11247.226171875,56.73839988708496,11251.65888671875,0.078125
18,-11172.13146484375,95.25864707946778,11179.573564453125,0.03943653,0.016783942,0.07019607,0.0011472316,0.04479596,0.17359376,1.0,0.0,0.0053594275,-11240.02607421875,56.97923278808594,11244.47763671875,0.078125
19,-11147.699619140625,96.01904678344727,11155.201083984375,0.071575806,0.015920779,0.10232887,0.0317131,0.07737238,0.23695692,1.0,0.0,0.005796574,-11202.05927734375,55.94594459533691,11206.43017578125,0.078125
20,-11134.28142578125,95.62069435119629,11141.751796875,0.023801684,0.013404042,0.052089293,0.0020700702,0.02970544,0.13636032,1.0,0.0,0.005903746,-11203.1578125,56.366360092163085,11207.5615234375,0.078125
21,-11126.28451171875,96.10009071350098,11133.792275390624,0.07709947,0.01528985,0.10451355,0.03406295,0.08348205,0.251563,1.0,0.0,0.00638255,-11220.07177734375,57.88170890808105,11224.59375,0.078125
22,-11109.586123046874,95.91708694458008,11117.079658203125,0.0393798,0.010616307,0.06061046,0.012215526,0.04564364,0.17571269,1.0,0.0,0.0062638456,-11204.0435546875,57.26702728271484,11208.517578125,0.078125
23,-11101.91587890625,95.74830856323243,11109.396171875,0.08257694,0.014411732,0.109229214,0.045890264,0.08633641,0.25227958,1.0,0.0,0.003759484,-11179.4234375,54.347480392456056,11183.6693359375,0.078125
24,-11095.006279296875,96.3281386566162,11102.53193359375,0.07956365,0.01593126,0.11086918,0.0369958,0.08594066,0.23837462,1.0,0.0,0.006377022,-11165.0634765625,55.15638427734375,11169.37255859375,0.078125
