train/epoch,train/loss,train/log_prob,train/kl,train/physics_temporal,train/physics_momentum,train/physics_contact,train/physics_total_physics,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
10,27009.358359375,-13502.143173828124,32.42205619812012,0.021564926588907837,0.03926091222092509,0.000248635970056057,0.06107447475194931,0.018579442,0.0042974846,0.02460642,0.007238697,0.02424209,0.084864154,0.99936473,0.0,0.005662653,-13554.323046875,55.42081718444824,13558.6529296875,0.078125
11,26988.77578125,-13491.816923828124,32.86824415206909,0.02195555780082941,0.04042205192148685,0.00022180257830768822,0.0625994123518467,0.02111511,0.004920965,0.028928045,0.0059672017,0.042593237,0.13734221,0.9999676,0.0,0.021478135,-13548.45556640625,62.860815811157224,13553.3666015625,0.078125
12,26982.370625,-13488.54271484375,33.785221366882325,0.022071275943890214,0.04085276557132602,0.00016444720793515444,0.0630884886905551,0.018280126,0.0042868773,0.025920086,0.007806855,0.02235888,0.07662325,0.99934983,0.0,0.004078752,-13525.437109375,66.88357620239258,13530.66240234375,0.078125
13,26963.1063671875,-13478.807890625,35.09766805648804,0.022826636526733637,0.04260442029684782,0.00015005935449153185,0.06558111600577832,0.027014688,0.0029601213,0.03494235,0.0160565,0.031661198,0.10907616,0.9998989,0.0,0.0046465136,-13528.500390625,71.1307559967041,13534.05751953125,0.078125
14,26940.474765625,-13467.448837890624,35.6481650352478,0.024448744701221586,0.04518827505409718,0.00046506531070917846,0.0701020848378539,0.027284462,0.0033836502,0.032490607,0.015236608,0.039667204,0.1309353,0.9999933,0.0,0.012382752,-13505.27626953125,68.82469024658204,13510.65302734375,0.078125
15,26923.7209765625,-13459.11267578125,35.13000963211059,0.023279939368367194,0.04287418238818645,0.00024105525575578211,0.06639517713338136,0.040184543,0.004178617,0.047498256,0.02784229,0.04405581,0.13957341,0.99999785,0.0,0.003871269,-13517.91044921875,65.20909233093262,13523.00498046875,0.078125
16,26898.89482421875,-13446.669326171876,35.51511938095093,0.02439160404726863,0.04421465836465359,0.0003154971264302731,0.06892175946384668,0.0153299235,0.0035747844,0.022925997,0.0042537283,0.018960394,0.06535377,0.99998057,0.0,0.0036304716,-13516.675,68.51473922729492,13522.027734375,0.078125
17,26888.46919921875,-13441.541396484376,34.43256401062012,0.023307704403996467,0.04208511579781771,0.0003193759359419346,0.06571219604462385,0.009537078,0.004746141,0.024282,0.0034369207,0.0139744915,0.06735162,0.99967,0.0,0.0044374126,-13489.07080078125,63.358584594726565,13494.020703125,0.078125
18,26877.0278515625,-13435.767724609375,35.10776824951172,0.024228408373892306,0.04312617769464851,0.00023599238600581883,0.06759057838469744,0.015008628,0.0050978726,0.02480017,0.0012790533,0.01930228,0.07552666,0.9999304,0.0,0.004293653,-13504.7703125,67.17833976745605,13510.01875,0.078125
19,26864.985,-13429.744912109374,35.12703170776367,0.02401844372972846,0.042305552940815686,0.0003316626511514187,0.06665565945208073,0.0107349465,0.0036507193,0.018159777,0.0016848962,0.014745254,0.061083786,0.9995219,0.0,0.0040103053,-13506.2123046875,61.21044273376465,13510.99443359375,0.078125
20,26860.54673828125,-13427.553623046875,34.76870317459107,0.024895379040390252,0.04362570397555828,0.0004048294434323907,0.0689259124547243,0.017037313,0.0026756534,0.026372867,0.012706755,0.023888333,0.08878121,0.9999931,0.0,0.0068510235,-13504.3462890625,58.810608291625975,13508.94091796875,0.078125
21,26859.38427734375,-13427.00978515625,34.29194219589233,0.024287295266985892,0.04265091996639967,0.0,0.06693821508437395,0.019911151,0.005609806,0.030639706,0.005068472,0.023842994,0.09660397,0.999995,0.0,0.003931848,-13492.7796875,56.67340278625488,13497.20732421875,0.078125
22,26850.19796875,-13422.427900390625,34.14592063903809,0.02443447830155492,0.043062915913760665,0.0003400958329439163,0.06783749002963305,0.010217601,0.004423282,0.01818924,0.00054460624,0.014320111,0.059243217,0.9994115,0.0,0.004102508,-13487.8384765625,58.283399963378905,13492.3919921875,0.078125
23,26834.08060546875,-13414.359501953126,34.2700421333313,0.024832642301917077,0.04359311081469059,0.0001632228586822748,0.06858897596597671,0.010312187,0.004367112,0.019139973,0.0025372899,0.014116545,0.054564603,0.99817455,0.0,0.0038043575,-13486.93369140625,59.84429092407227,13491.60888671875,0.078125
24,26832.30693359375,-13413.465595703125,34.36136302947998,0.024501718152314424,0.04337537758052349,0.00024879466276615857,0.06812589053064584,0.023749258,0.0048891716,0.03547885,0.012685489,0.026717072,0.11050952,0.99999976,0.0,0.002967819,-13503.6017578125,54.189873123168944,13507.8353515625,0.078125
25,26829.51494140625,-13412.115126953126,33.779166507720944,0.024533903673291207,0.043781572952866554,0.0003438612725585699,0.06865933794528246,0.023759492,0.00555457,0.036173657,0.010889605,0.02755219,0.11112062,0.99999976,0.0,0.0037926997,-13505.30087890625,54.99500160217285,13509.597265625,0.078125
