train/epoch,train/loss,train/log_prob,train/kl,train/physics_temporal,train/physics_momentum,train/physics_contact,train/physics_total_physics,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
0,28811.93009765625,-14404.115048828126,23.633045473098754,0.020471372827887534,0.027878194581717253,8.093137179457699e-05,0.04843049874063581,0.00037253357,0.00018967163,0.00058459956,3.254041e-06,0.00900481,0.04041342,0.36426666,0.0,0.008632279,-14324.128515625,20.711745834350587,14325.74658203125,0.078125
1,28376.24490234375,-14185.495322265626,33.56548028945923,0.02712287750095129,0.03685933457687497,0.00018752264950308017,0.0641697347164154,0.015626583,0.0010996698,0.017372506,0.012732243,0.02189627,0.060600437,0.50878894,8.881784e-16,0.006269686,-14197.65751953125,34.89569244384766,14200.3837890625,0.078125
2,28034.81724609375,-14013.715927734374,47.1467529296875,0.05163736388087273,0.07233219426125288,0.000576033415272832,0.12454559095203876,0.00048672405,0.00060246774,0.002168722,-0.00018766942,0.007579484,0.04270845,0.9009841,0.0,0.0070927595,-14109.703515625,28.44812927246094,14111.926171875,0.078125
3,27925.6472265625,-13960.064423828126,35.21110906600952,0.04600371722131968,0.0643568255752325,0.00034527566051110624,0.11070581793785095,0.0049235527,0.0042917677,0.01495462,-2.6569702e-05,0.013400755,0.05931474,0.95795923,0.0,0.008477206,-14063.69736328125,23.845031356811525,14065.5603515625,0.078125
4,27875.7252734375,-13935.49330078125,30.22799613952637,0.042859816513955595,0.06069202408194542,0.00021348001202568413,0.10376532085239887,0.009036868,0.0051964843,0.01642982,0.0016062958,0.013514859,0.06833113,0.97444516,0.0,0.004477992,-14044.774609375,22.53284454345703,14046.53505859375,0.078125
5,27819.89556640625,-13907.6470703125,29.350034370422364,0.04244603155180812,0.06043645013123751,0.00030737045395653697,0.10318985216319561,0.006221854,0.0056611556,0.016322864,-0.00013654167,0.011064707,0.06822135,0.99725986,0.0,0.0048428527,-14030.3634765625,22.563958358764648,14032.12626953125,0.078125
6,27766.9402734375,-13881.07703125,30.532047386169435,0.04224629493430257,0.061520092077553275,0.00021797918248921632,0.10398436617106199,0.00871904,0.007112088,0.019553643,-8.168048e-05,0.010962949,0.07568148,0.9979063,0.0,0.0022439046,-14005.03486328125,24.755977630615234,14006.9689453125,0.078125
7,27657.8504296875,-13826.2576171875,34.01612190246582,0.05089891266077757,0.08319088216871023,0.0002840375551022589,0.13437383256852628,0.017222896,0.009522001,0.036222894,0.00434886,0.020262279,0.093357466,0.9948725,8.881784e-16,0.0030393784,-13941.58896484375,28.072472381591798,13943.78212890625,0.078125
8,27555.8025390625,-13775.08619140625,35.883238582611085,0.0581361648440361,0.09733691330999136,0.0001723041827790439,0.15564538285136223,0.030481696,0.007941666,0.044213496,0.020534877,0.035114594,0.107258536,0.9958714,0.0,0.004632908,-13916.63525390625,26.61518974304199,13918.71455078125,0.078125
9,27515.72740234375,-13755.119111328126,34.977205238342286,0.059726845547556875,0.1001914282888174,0.00018716968421358615,0.1601054433733225,0.013992742,0.009181578,0.03134896,0.0030697612,0.016322251,0.093378715,0.9986315,0.0,0.0023295102,-13892.19921875,29.36326961517334,13894.49326171875,0.078125
10,27468.383359375,-13731.39068359375,35.69325170516968,0.06201981294900179,0.10456436283886433,0.00015920450852718204,0.1667433799058199,0.0088544665,0.009022695,0.027207835,-3.8112921e-06,0.009085619,0.07388999,0.995843,0.0,0.00023115425,-13882.1515625,27.417002296447755,13884.2935546875,0.078125
11,27445.78994140625,-13720.07892578125,35.8792626953125,0.06441024281084537,0.10954671330749989,7.995737716555596e-05,0.1740369138866663,0.0037351015,0.004100346,0.011587564,-0.003009913,0.010100423,0.07162152,0.99981403,0.0,0.0063653234,-13910.85302734375,31.719546508789062,13913.33125,0.078125
12,27422.45263671875,-13708.426201171875,35.67411659240722,0.06392355386167764,0.10921699874103069,0.00021583979891147463,0.17335639335215092,0.016910616,0.0086731715,0.03393293,0.005871758,0.020046072,0.09850824,0.998709,0.0,0.0031354548,-13928.85400390625,24.36201114654541,13930.7572265625,0.078125
13,27398.117578125,-13696.215546875,36.22362859725952,0.06587722040712833,0.11203926093876362,0.00022745667316485197,0.17814393855631352,-0.005326209,0.0042004935,0.003492307,-0.012571928,0.010314811,0.07203362,0.9998553,0.0,0.01564102,-14466.19638671875,37.094905090332034,14469.09443359375,0.078125
14,27403.857421875,-13699.093662109375,36.120656719207766,0.06497591309249401,0.10995854899287223,0.00019184206146746874,0.1751263040304184,0.006742298,0.0041380404,0.013778152,1.2156554e-05,0.010345111,0.07035098,0.9996149,0.0,0.0036028118,-13849.54873046875,29.580428886413575,13851.859765625,0.078125
15,27385.4908203125,-13689.8978125,36.275973625183106,0.0666942035406828,0.11374615717679262,0.00024798167345579713,0.18068834260106087,0.008140862,0.008883258,0.02571703,-0.0012599737,0.010117369,0.07949747,0.9997132,0.0,0.001976508,-13956.384375,23.8553825378418,13958.248046875,0.078125
16,27371.70283203125,-13682.98087890625,36.57316171646118,0.06517318166792392,0.11027917549014092,0.00030284318141639234,0.17575519897043704,0.0024718554,0.0070396983,0.018273665,-0.0054990565,0.010234618,0.07043006,0.99983144,0.0,0.0077627604,-14280.29501953125,35.54074592590332,14283.07158203125,0.078125
17,27374.7064453125,-13684.465166015625,36.795252838134765,0.0665533871203661,0.11273414313793183,0.00022390290221665054,0.17951143316924573,0.007182472,0.0062194495,0.021306092,-0.0007318896,0.011007461,0.06938037,0.9999783,0.0,0.003824987,-13862.18916015625,26.768074417114256,13864.28037109375,0.078125
18,27347.4399609375,-13670.8155859375,37.013331985473634,0.06336969558149576,0.10605800941586495,0.00033426804235205056,0.16976197354495526,0.0059130853,0.004448289,0.014012072,-0.0009026993,0.010824364,0.07324094,0.9999702,8.881784e-16,0.0049112793,-13834.9396484375,27.511567497253417,13837.08896484375,0.078125
19,27339.3458203125,-13666.752490234376,37.21315473556518,0.06474736180156469,0.10943312913179398,0.00022796457691583782,0.1744084547460079,0.021609465,0.010313182,0.042634085,0.009568496,0.023743043,0.10551171,0.999899,0.0,0.0021335813,-13850.953125,31.75031623840332,13853.43388671875,0.078125
20,27345.50439453125,-13669.8184375,37.383823795318605,0.06541281588375568,0.11000515289604663,0.0002708296448690817,0.17568879775702953,0.017771315,0.0045341467,0.023524033,0.010847072,0.019905454,0.10024799,0.9998307,0.0,0.0021341469,-13916.591796875,30.97353172302246,13919.01171875,0.078125
21,27343.5442578125,-13668.764619140626,38.323370475769046,0.06693989869207144,0.11230945415794849,0.0002893731300719082,0.17953872613608837,0.041040063,0.008943432,0.05487126,0.02930971,0.04527275,0.126472,0.99980044,0.0,0.004232684,-13816.38056640625,30.64674816131592,13818.77490234375,0.078125
22,27332.61173828125,-13663.31548828125,38.10706508636475,0.06578712031245232,0.1104364262521267,0.0002803704928373918,0.1765039163082838,0.019391783,0.008751618,0.037133344,0.006831153,0.023330223,0.10352138,0.9998622,0.0,0.0039384416,-13968.78828125,29.591749382019042,13971.1001953125,0.078125
23,27321.430625,-13657.763642578126,37.61510093688965,0.06447253856807947,0.10844873018562794,0.00018457312020473183,0.17310584224760533,0.015349651,0.0036259394,0.019621309,0.0053911405,0.025900137,0.091131434,0.99970746,0.0,0.010550485,-13990.763671875,32.57015552520752,13993.308203125,0.078125
24,27321.98291015625,-13658.06017578125,37.35788427352905,0.06328738380223513,0.10584786541759968,0.0002655931981280446,0.16940084263682365,0.012816763,0.008931436,0.031661935,0.0033447088,0.01584144,0.09274716,0.99984205,0.0,0.0030246766,-14244.101171875,32.25365352630615,14246.6208984375,0.078125
25,27313.69939453125,-13653.9082421875,37.484661979675295,0.06472684811800718,0.10835892297327518,0.00022595809190534055,0.1733117289841175,0.029390043,0.006673721,0.03953782,0.01966888,0.03315576,0.1116585,0.999874,8.881784e-16,0.0037657132,-13870.36171875,31.547538375854494,13872.8263671875,0.078125
26,27318.7046484375,-13656.39251953125,37.72428924560547,0.06318284962326289,0.10469457440078259,0.0004054986048140563,0.16828292228281497,0.008296361,0.0075232373,0.026544513,-7.6307566e-05,0.00985103,0.07437463,0.9999182,0.0,0.0015546681,-13822.78447265625,27.682813262939455,13824.947265625,0.078125
27,27303.24142578125,-13648.672216796875,37.57241346359253,0.06580249652266502,0.11006558634340763,0.0002556081599323079,0.1761236907541752,0.02431515,0.00982036,0.042977754,0.0138025405,0.027853994,0.10865893,0.9998971,0.0,0.0035388405,-14345.6482421875,30.85254535675049,14348.05849609375,0.078125
28,27306.213046875,-13650.216650390625,36.830254821777345,0.06267893701791763,0.10406709663569927,0.00033210018475074324,0.16707813374698163,0.0010522462,0.0040310374,0.007331622,-0.0068657077,0.009593661,0.07069029,0.9998131,0.0,0.008541412,-13925.878515625,28.430297660827637,13928.09970703125,0.078125
29,27288.26232421875,-13641.2312890625,36.95866788864136,0.06261610712856054,0.10416568040847779,0.0002873585550696589,0.16706914573907852,0.012812818,0.0054557114,0.023677286,0.004280671,0.015173221,0.08501511,0.9998783,0.0,0.0023604063,-13855.175390625,29.333930206298827,13857.46708984375,0.078125
30,27293.081484375,-13643.670302734376,36.58578924179077,0.061152752675116065,0.10108331833034753,0.00020782671635970472,0.16244389817118646,0.0053334497,0.004588188,0.015731206,-0.001628119,0.014724958,0.08679585,0.99995136,0.0,0.009391505,-14318.2166015625,31.961081123352052,14320.7134765625,0.078125
