QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Bellman Errors 1 Mean,Bellman Errors 1 Std,Bellman Errors 1 Max,Bellman Errors 1 Min,Bellman Errors 2 Mean,Bellman Errors 2 Std,Bellman Errors 2 Max,Bellman Errors 2 Min,Policy Action Mean,Policy Action Std,Policy Action Max,Policy Action Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,hand_distance Mean,hand_distance Std,hand_distance Max,hand_distance Min,Final hand_distance Mean,Final hand_distance Std,Final hand_distance Max,Final hand_distance Min,hand_distance_l1 Mean,hand_distance_l1 Std,hand_distance_l1 Max,hand_distance_l1 Min,Final hand_distance_l1 Mean,Final hand_distance_l1 Std,Final hand_distance_l1 Max,Final hand_distance_l1 Min,hand_distance_l2 Mean,hand_distance_l2 Std,hand_distance_l2 Max,hand_distance_l2 Min,Final hand_distance_l2 Mean,Final hand_distance_l2 Std,Final hand_distance_l2 Max,Final hand_distance_l2 Min,hand_success Mean,hand_success Std,hand_success Max,hand_success Min,Final hand_success Mean,Final hand_success Std,Final hand_success Max,Final hand_success Min,image_dist Mean,image_dist Std,image_dist Max,image_dist Min,Final image_dist Mean,Final image_dist Std,Final image_dist Max,Final image_dist Min,image_success Mean,image_success Std,image_success Max,image_success Min,Final image_success Mean,Final image_success Std,Final image_success Max,Final image_success Min,vae_dist Mean,vae_dist Std,vae_dist Max,vae_dist Min,Final vae_dist Mean,Final vae_dist Std,Final vae_dist Max,Final vae_dist Min,AverageReturn,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
45.823772,45.836433,0.023859948,-0.00095617236,0.0016062288,0.0061106435,-0.0053921216,-0.0004562975,0.0012894752,0.0037301374,-0.006492136,-5.6401367,3.7457302,-0.00066909456,-18.44146,45.823772,58.958656,339.88858,1.1379367e-09,45.83643,58.983517,340.22504,4.620063e-07,-0.0005099478,0.0027600247,0.0072249053,-0.010300997,-9.7020235,3.3552864,-1.5009304,-17.822962,-485.1012,75.580505,-401.85803,-698.15906,-0.020430196,0.048194923,0.068085186,-0.095725596,20,-5.813635523198385,2.874859085884919,-0.8433957561547616,-18.120585205059182,-290.68177615991925,98.29605986315394,-163.94114791836702,-655.9443607480636,0.029592980388075053,0.3712067556811729,1.0,-1.0,0.20894356788166554,0.07195923835228422,0.35594727566928697,0.06928435057239614,0.21330888945838367,0.07392370563769826,0.35594727566928697,0.06928435057239614,0.3126537229617583,0.1215341726489379,0.6123996362874662,0.07122519789845903,0.31670207640370035,0.12516558723658514,0.6123996362874662,0.07122519789845903,0.20894356788166554,0.07195923835228422,0.35594727566928697,0.06928435057239614,0.21330888945838367,0.07392370563769826,0.35594727566928697,0.06928435057239614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.884435789096468,3.5175400336593703,28.220235363435663,12.606623915677282,20.47454695178776,3.8229544736858023,28.220235363435663,14.117648148148104,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,9.7020235,3.3552864,17.822962,1.5009304,9.659304,3.1862383,15.295965,3.2275574,-485.1012,4,4000,80,0.02183460583910346,0.031155255041085184,3.6274118463043123,3.680401707184501,43.2161602267297,3
46.343758,46.56597,0.20923153,-0.14312202,0.060495306,-0.034781765,-0.320007,-0.13147111,0.059148844,-0.03607737,-0.34263465,-5.8943734,3.6806862,-0.00088267,-17.247032,46.343758,51.04265,286.7716,0.0024249167,46.565968,51.341377,289.86575,0.002335232,-0.0146346325,0.040366516,0.09221276,-0.11034972,-3.7189872,2.3227382,-0.0,-14.175653,-185.94936,99.11632,-57.100445,-408.5974,0.563132,0.618389,1.0,-1.0,20,-3.0715202832517714,1.4722359841869985,-0.3547084258655237,-9.629278918367605,-153.57601416258856,42.76017750816746,-72.28128389148212,-256.77660774776956,0.3488855470496414,0.6864709344411847,1.0,-1.0,0.20747321818129466,0.08995720838172967,0.4556409173139379,0.028247672608247627,0.24538918370700022,0.07848972410259399,0.44202210003516235,0.10334634662417705,0.30883179792661714,0.1337691156068201,0.7111251788551967,0.04063202369775151,0.36858653182023415,0.11942961167790928,0.6692957066923482,0.14412845795762255,0.20747321818129466,0.08995720838172967,0.4556409173139379,0.028247672608247627,0.24538918370700022,0.07848972410259399,0.44202210003516235,0.10334634662417705,0.04380952380952381,0.20467107620058722,1.0,0.0,0.0,0.0,0.0,0.0,14.515157622474472,5.993547863060538,29.674175533271224,0.0,14.455829579643236,5.924384670568356,27.640431968965103,5.895915084756477,-0.7438095238095238,0.4365282534954333,0.0,-1.0,-0.6666666666666666,0.4714045207910317,0.0,-1.0,3.7189872,2.3227382,14.175653,0.0,3.721442,2.213701,8.701585,0.77283597,-185.94936,4004,5000,100,10.805367701454088,4.288212646031752,3.9190234784036875,19.012603825889528,61.53096002177335,4
22.939438,21.530466,20.550873,-23.095234,17.675278,1.1696458,-90.9147,-23.595493,17.857775,1.2097139,-95.140175,-24.031986,18.91767,1.5731432,-109.13856,22.939438,194.36127,2208.2717,0.00014083245,21.530466,185.22504,2102.3774,0.005260986,0.42575252,0.79076284,1.0,-1.0,-3.968857,2.652955,-0.25839302,-17.321482,-198.44284,115.45879,-43.643536,-501.52182,0.013098157,0.84066844,1.0,-1.0,20,-2.5972159144776144,1.5496414301767225,-0.6001938508159991,-10.41304168058954,-129.86079572388073,23.55890150727912,-88.23420094915485,-174.45132738815195,0.21437680158578648,0.7264346179543772,1.0,-1.0,0.1491168419341018,0.06521761065797337,0.2741384397617841,0.010733390853125784,0.16247699046979214,0.06345095393318316,0.26391690288051567,0.05129462710382104,0.23153950977365811,0.10710173894268953,0.4287207866184993,0.01826982921437284,0.2537090924673146,0.10737877615323545,0.426922855248864,0.07390528425917972,0.1491168419341018,0.06521761065797337,0.2741384397617841,0.010733390853125784,0.16247699046979214,0.06345095393318316,0.26391690288051567,0.05129462710382104,0.10952380952380952,0.3122952844203732,1.0,0.0,0.047619047619047616,0.21295885499998,1.0,0.0,17.504287497919943,6.65940144422573,32.96702277340341,4.652018533082331,17.855177185161864,6.832047830733605,32.946704018029976,6.503996937500372,-0.8971428571428571,0.30377220251433174,0.0,-1.0,-0.9047619047619048,0.2935435239509036,0.0,-1.0,3.968857,2.652955,17.321482,0.258393,3.9290786,2.5135796,10.467344,0.80259156,-198.44284,8004,6000,120,11.910129426745698,3.590925522032194,4.685212935437448,20.18626788421534,82.05944364413153,5
7.892826,8.754973,30.08017,-32.85554,21.162632,-0.055691093,-109.300446,-32.664154,21.1399,-0.17822808,-111.68792,-32.725845,21.577055,0.2133011,-109.04388,7.892826,16.922783,101.240166,1.7225742e-05,8.754973,20.219141,137.64525,0.00088601967,0.13805802,0.8796035,1.0,-1.0,-3.04695,2.3881135,-0.0,-15.403193,-152.3475,97.88866,-45.94566,-388.01175,0.22778681,0.6044723,1.0,-1.0,20,-2.9576469318168837,1.7805505130945423,-0.42947808979999863,-10.961582151312996,-147.88234659084418,53.1469305416658,-64.37935088211245,-284.6315011472399,0.07801359712327613,0.703683818431233,1.0,-1.0,0.15833151033084814,0.1197072507249835,0.45422955879837557,0.007623799502472619,0.16955791208830032,0.1235452396256279,0.4485901683198995,0.03598204082720804,0.24428717077043816,0.18721715395471256,0.7235429760739,0.01105374159549033,0.262213935751451,0.19575485958346972,0.7214200628188676,0.048354142499219044,0.15833151033084814,0.1197072507249835,0.45422955879837557,0.007623799502472619,0.16955791208830032,0.1235452396256279,0.4485901683198995,0.03598204082720804,0.24857142857142858,0.4321847677433666,1.0,0.0,0.23809523809523808,0.4259177099999599,1.0,0.0,12.876347995245007,4.748938507235759,28.82568592706348,4.503215989530817,12.093728517311817,4.253970958284066,23.33134379390795,4.503215989530817,-0.7542857142857143,0.4305099017562826,0.0,-1.0,-0.7619047619047619,0.4259177099999599,0.0,-1.0,3.04695,2.3881135,15.403193,0.0,2.8758793,2.196804,7.6512504,0.0,-152.3475,12004,7000,140,11.190721780643798,3.932769827079028,4.170138202025555,19.29362980974838,101.336514206836,6
4.8228283,5.625826,37.90232,-42.29243,25.779667,1.6807024,-135.03334,-41.621506,25.614101,2.012472,-133.59494,-42.49922,25.776539,1.2067258,-137.16013,4.8228283,8.3276615,69.10901,0.00060089916,5.625826,7.783028,43.42016,0.0006774401,0.20863557,0.84448475,1.0,-1.0,-2.0189016,1.9483987,-0.0,-13.799113,-100.94509,65.1034,-50.07799,-304.90262,-0.00048979744,0.67161757,1.0,-1.0,20,-2.486280955714681,1.6785834499139032,-0.5183273873196222,-10.499511898845341,-124.3140477857341,18.689420560719263,-97.78508687844291,-177.87666725196303,0.22062161861603394,0.5941303791070462,1.0,-1.0,0.14720010815833814,0.10121913920552887,0.43046858003281774,0.007293891452568312,0.15640385360940873,0.10361971085728551,0.3750420027967434,0.014907600632176773,0.2189548820813541,0.14750032848522382,0.6733142517568792,0.010783637353521669,0.22524143827150422,0.13601472694297395,0.5410177930100506,0.021803729604767574,0.14720010815833814,0.10121913920552887,0.43046858003281774,0.007293891452568312,0.15640385360940873,0.10361971085728551,0.3750420027967434,0.014907600632176773,0.2180952380952381,0.41295242488138934,1.0,0.0,0.19047619047619047,0.392676726249301,1.0,0.0,10.323560506803489,4.633719277029246,26.02467731397307,0.0,8.850710118249474,4.662829051439068,16.036408019276244,0.0,-0.48095238095238096,0.49963705648061846,0.0,-1.0,-0.5238095238095238,0.49943278484292924,0.0,-1.0,2.0189016,1.9483987,13.799112,0.0,1.51516,1.5119625,5.8574214,0.0,-100.94509,16004,8000,160,11.449249411118217,3.916285748942755,4.470064716064371,19.835599876125343,121.59851648134645,7
6.231299,6.2673726,45.21355,-48.72303,28.285625,1.8713287,-111.402245,-48.881294,28.40025,2.0970411,-110.759575,-49.07285,27.96768,1.7030047,-109.43769,6.2312984,12.727619,76.37216,0.00019835518,6.2673726,12.380005,79.03175,0.0017620625,0.3108658,0.7648781,1.0,-1.0,-2.1281562,1.822737,-0.17026247,-13.98378,-106.4078,56.7171,-48.177902,-292.95532,0.006817128,0.6219847,1.0,-1.0,20,-2.379181629221872,1.9919375030794184,-0.2279017845676302,-10.831534590824994,-118.95908146109359,49.743054038954455,-58.64470919591924,-245.34107040880954,0.20494072923644951,0.5998144057809401,1.0,-1.0,0.09986024316222751,0.06796521243215024,0.2905920598648424,0.007922427791032182,0.10350476800024982,0.06585355135454674,0.24891855446419933,0.016490238477094563,0.15017580215825857,0.10092178229842715,0.4240440780445546,0.012693380051696066,0.15373684574663365,0.0947632029800702,0.33798007387107043,0.027030217606869356,0.09986024316222751,0.06796521243215024,0.2905920598648424,0.007922427791032182,0.10350476800024982,0.06585355135454674,0.24891855446419933,0.016490238477094563,0.4076190476190476,0.4913916560516552,1.0,0.0,0.38095238095238093,0.4856209060564557,1.0,0.0,11.46446178631417,4.202682486228943,27.240625969149104,3.2044807153628874,11.919285738115027,3.570554584527291,19.999820837336696,5.821979063454437,-0.5238095238095238,0.49943278484292924,0.0,-1.0,-0.5714285714285714,0.4948716593053935,0.0,-1.0,2.1281562,1.822737,13.98378,0.17026247,2.0070796,1.3273238,5.5834155,0.48510128,-106.4078,20004,9000,180,13.960061111603864,4.3427550659980625,6.101092754281126,24.403908931883052,147.76880025630817,8
6.5374436,6.7762794,49.70321,-53.400085,29.881828,2.5091662,-131.49643,-53.357796,29.596214,2.6994247,-126.40113,-54.30884,29.899109,2.380575,-132.62416,6.5374436,17.027737,141.3954,9.328807e-05,6.7762794,14.61322,113.377525,0.0016904273,0.17171799,0.8025357,1.0,-1.0,-2.5588198,3.1525543,-0.0,-18.447334,-127.94098,108.08448,-33.40281,-487.23236,-0.04448668,0.650261,1.0,-1.0,20,-2.254830352266192,1.7250702319475617,-0.4202792824681599,-10.515740178409919,-112.74151761330957,31.337589235159676,-69.31277143997589,-196.997627653465,0.07934103018378304,0.5799199323081309,1.0,-1.0,0.13013628886831805,0.080284602823787,0.3633867402388172,0.0047211597231611386,0.10010698605963968,0.07034908645909978,0.33964289609607345,0.01976194518685115,0.19045078165354534,0.11756954546079884,0.6156519931714024,0.005252608237308984,0.14743104803896023,0.10366455361383471,0.4875138695511406,0.02746223580431993,0.13013628886831805,0.080284602823787,0.3633867402388172,0.0047211597231611386,0.10010698605963968,0.07034908645909978,0.33964289609607345,0.01976194518685115,0.1819047619047619,0.3857660165192546,1.0,0.0,0.3333333333333333,0.4714045207910316,1.0,0.0,11.891166228372482,4.383254610961869,28.642389602165892,0.0,10.974632977387115,3.6794000884688747,14.966240107155208,0.0,-0.7828571428571428,0.4123006630296559,0.0,-1.0,-0.7619047619047619,0.4259177099999599,0.0,-1.0,2.5588198,3.1525543,18.447334,0.0,2.2867367,3.6665416,18.090458,0.0,-127.94098,24004,10000,200,11.740141298854724,6.110799852991477,4.646375736338086,22.497316888184287,168.92848784523085,9
5.0076504,5.5952554,52.655045,-55.342,30.454536,3.4051936,-186.42627,-55.639565,30.46795,3.4600291,-189.15598,-55.86021,30.73767,3.2294033,-188.98572,5.0076504,10.7986145,92.329094,5.994668e-05,5.5952554,15.27327,141.31386,0.00013157913,0.053858783,0.7872752,1.0,-1.0,-2.434732,1.8787156,-0.15804204,-14.02252,-121.736595,66.04458,-45.074005,-331.03207,-0.06659195,0.6187352,1.0,-1.0,20,-2.173270913977959,1.8540851066914072,-0.15159225436195814,-11.398147664469322,-108.66354569889795,34.731354022411715,-61.19884165039493,-222.89856762604217,0.14832684891589368,0.546612809107421,1.0,-1.0,0.13393855733895962,0.08684636796007268,0.44197650464713983,0.008842114605220185,0.13241619431465843,0.08973222161589378,0.44197650464713983,0.017810120349835815,0.20610590324799974,0.14000927072657401,0.7098324603733217,0.015253685793494252,0.20368028256367587,0.14531380613692388,0.7098324603733217,0.027705969441910366,0.13393855733895962,0.08684636796007268,0.44197650464713983,0.008842114605220185,0.13241619431465843,0.08973222161589378,0.44197650464713983,0.017810120349835815,0.2438095238095238,0.42937913306225894,1.0,0.0,0.23809523809523808,0.4259177099999599,1.0,0.0,12.077660922192955,4.0649097857667105,29.271597244235892,3.7570551344573793,11.227301251718188,3.44535638618268,18.2438107878971,4.872431844568915,-0.680952380952381,0.46610753676342165,0.0,-1.0,-0.6190476190476191,0.4856209060564557,0.0,-1.0,2.434732,1.8787156,14.02252,0.15804206,2.0209973,1.3820208,6.2697473,0.27838716,-121.736595,28004,11000,220,11.928335893666372,4.772990899975412,4.972316033323295,21.67364282696508,190.2935713531915,10
4.2540464,5.186982,56.666046,-59.561108,33.716602,4.211265,-165.50525,-59.268612,33.615673,4.6359644,-163.57631,-60.09516,33.629536,3.9190984,-163.55336,4.254047,7.3125677,42.386288,0.00042401958,5.186982,9.945212,79.4159,0.00052666664,0.08827403,0.7744356,1.0,-1.0,-2.6761234,2.1224065,-0.0,-15.574305,-133.80617,79.26306,-50.74632,-372.24194,-0.053760376,0.6336586,1.0,-1.0,20,-2.08889747470596,2.032124027082721,-0.1359666500814737,-12.10219547825112,-104.444873735298,50.65715637707524,-58.33223545126656,-282.7819102678127,0.097260734105892,0.5756626782787101,1.0,-1.0,0.1239055256376866,0.07910999330400963,0.3088096842949432,0.008451657315494803,0.11917325836662791,0.07662378443187183,0.2756253281814105,0.023149142550529345,0.19387752120036172,0.1288966767164136,0.5348382994124318,0.01242208106887565,0.18742519473811847,0.12478412523782992,0.4462313316783634,0.038723715962777544,0.1239055256376866,0.07910999330400963,0.3088096842949432,0.008451657315494803,0.11917325836662791,0.07662378443187183,0.2756253281814105,0.023149142550529345,0.29428571428571426,0.4557210030852882,1.0,0.0,0.2857142857142857,0.45175395145262565,1.0,0.0,12.868020087751049,4.633653929026564,28.999126317560897,0.0,12.264806238410126,4.4083323307316515,24.88126513792082,4.8400863614360405,-0.7209523809523809,0.44853098594352864,0.0,-1.0,-0.6666666666666666,0.4714045207910316,0.0,-1.0,2.6761234,2.1224065,15.574305,0.0,2.3342304,1.8191903,8.152032,0.4198271,-133.80617,32004,12000,240,12.376410097931512,4.4680045179557055,5.553472438594326,22.397887054481544,212.6642753178021,11
5.827854,8.561983,60.57341,-63.49187,36.784584,3.6452265,-154.69655,-63.043022,36.794697,4.332119,-163.03188,-63.860798,36.6783,3.5295427,-147.62637,5.827854,15.038462,117.29373,1.0815622e-06,8.561983,31.71823,311.91562,0.00042213645,0.2034179,0.7815653,1.0,-1.0,-2.1312966,2.3871458,-0.0,-16.365791,-106.564835,93.238686,-34.664238,-408.94757,-0.03220208,0.6134953,1.0,-1.0,20,-2.292397478674968,1.7853006312161872,-0.3887489483877152,-11.348233731275787,-114.61987393374838,26.799284112626413,-68.60728190132288,-159.41869516374462,0.1329649298723123,0.5991388537086453,1.0,-1.0,0.09727284267213726,0.06145220684007661,0.29044584622483727,0.005343200545240692,0.09231242889823157,0.06249742840611228,0.21882580657248935,0.011611426766318806,0.14519406923334335,0.09686390723106153,0.444685785297277,0.008367586934535369,0.1363497720459582,0.09608996958900094,0.3495764335401602,0.015015453831649178,0.09727284267213726,0.06145220684007661,0.29044584622483727,0.005343200545240692,0.09231242889823157,0.06249742840611228,0.21882580657248935,0.011611426766318806,0.38857142857142857,0.4874255568488256,1.0,0.0,0.42857142857142855,0.4948716593053935,1.0,0.0,11.322880077708689,6.28709058130932,28.604872643424912,0.0,11.05054811336905,6.609815832112874,28.604872643424912,1.879180332902582,-0.4742857142857143,0.4993383377132224,0.0,-1.0,-0.47619047619047616,0.49943278484292924,0.0,-1.0,2.1312966,2.3871455,16.365791,0.0,1.8865273,2.1853378,8.906893,0.0,-106.564835,36004,13000,260,11.478712121606804,4.436394561082125,4.565662337117828,20.480769019806758,233.80083471455146,12
