train/epoch,train/Log Prob,train/KL,train/loss,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
11,-2521.517951660156,108.36165115356445,2529.9837060546874,0.21136482,0.04541597,0.27533364,0.10690213,0.21837027,0.32218996,0.9947699,0.0,0.007005452,-2555.014013671875,96.0092269897461,2562.5147705078125,0.078125
12,-2515.1325756835936,105.70786399841309,2523.3910083007813,0.15911624,0.04104073,0.22458988,0.0712956,0.17210634,0.29170462,0.99978137,0.0,0.012990127,-2548.5158447265626,95.19946517944337,2555.9532958984373,0.078125
13,-2510.852067871094,103.00531425476075,2518.8993676757814,0.20891595,0.04855349,0.27192092,0.09224765,0.21359384,0.31972802,0.99818146,0.0,0.004677854,-2542.6233642578127,91.75965576171875,2549.79208984375,0.078125
14,-2506.96083984375,100.66453849792481,2514.8252587890624,0.18669513,0.047920454,0.25944868,0.104190305,0.19102724,0.30483416,0.99999905,0.0,0.004332075,-2535.157177734375,92.48940200805664,2542.38291015625,0.078125
15,-2504.0355078125,98.18391357421875,2511.706123046875,0.18871099,0.043372683,0.26277137,0.09303517,0.19462726,0.31233302,0.99354404,0.0,0.0059162513,-2532.7958740234376,88.61310806274415,2539.7187744140624,0.078125
16,-2501.1524072265624,95.41592147827149,2508.6067749023437,0.22903755,0.043581016,0.28935358,0.13402171,0.23419058,0.33552712,0.99899244,0.0,0.0051530236,-2534.883154296875,89.6839599609375,2541.889697265625,0.078125
17,-2498.8976538085935,94.41753074645996,2506.2740112304687,0.17754552,0.05082636,0.25658995,0.064763755,0.18251836,0.30257636,0.99999976,0.0,0.004972853,-2530.2088134765627,87.03496551513672,2537.0083984375,0.078125
18,-2495.8326586914063,93.17922355651855,2503.1122802734376,0.18153581,0.04751822,0.24530382,0.09438281,0.18594483,0.3023407,0.99995995,0.0,0.0044089817,-2527.4662109375,86.3923553466797,2534.2156005859374,0.078125
19,-2493.956613769531,91.76978523254394,2501.1261328125,0.13550487,0.049137246,0.2154067,0.036312863,0.14751756,0.2742021,0.99999094,0.0,0.012012694,-2524.18056640625,85.04020538330079,2530.824365234375,0.078125
20,-2491.855207519531,90.33253059387206,2498.9124389648437,0.18398303,0.042436555,0.2625684,0.108393215,0.18915994,0.31166306,0.9999993,0.0,0.0051769023,-2519.539697265625,84.08592071533204,2526.10888671875,0.078125
21,-2491.3397924804685,88.87462966918946,2498.283127441406,0.18785635,0.046951883,0.26501068,0.07257178,0.19125684,0.30925325,1.0,0.0,0.0034005018,-2520.1660400390624,82.3332420349121,2526.59833984375,0.078125
22,-2489.7291259765625,87.5753653717041,2496.570966796875,0.17999111,0.05182345,0.25534084,0.064791836,0.18662627,0.30446535,0.99959844,0.0,0.00663517,-2514.975830078125,81.95491333007813,2521.3785400390625,0.078125
