train/epoch,train/Log Prob,train/KL,train/loss,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
93,-13352.298720703126,30.537370223999023,13354.684482421875,0.026004115,0.0057722926,0.036657397,0.014919437,0.027429026,0.117804766,1.0,0.0,0.0014249055,-13440.2865234375,28.98737316131592,13442.55107421875,0.078125
94,-13350.439814453124,30.705679092407227,13352.83873046875,0.023884365,0.0055697295,0.03283795,0.014093624,0.027202424,0.11478336,1.0,0.0,0.0033180623,-13433.4720703125,29.188396072387697,13435.75234375,0.078125
95,-13350.428193359376,30.661355781555176,13352.82361328125,0.005491163,0.0036445565,0.015389792,-0.0009270541,0.00916102,0.057361428,1.0,0.0,0.003669857,-13452.76826171875,27.365706825256346,13454.9060546875,0.078125
96,-13352.036806640624,30.552452869415283,13354.42373046875,0.012468976,0.004298659,0.022219917,-2.5196001e-05,0.015477582,0.07691166,1.0,0.0,0.0030086064,-13432.7693359375,28.279346466064453,13434.9787109375,0.078125
97,-13344.716484375,30.862738914489746,13347.127607421875,0.007872295,0.00331534,0.015677437,0.0014975532,0.009648321,0.060302228,1.0,0.0,0.0017760273,-13464.41767578125,29.34350528717041,13466.71015625,0.078125
98,-13345.824912109376,30.642062129974367,13348.2187890625,0.007434445,0.0038115296,0.020638132,0.00023509096,0.010220156,0.062436014,1.0,0.0,0.002785712,-13434.00244140625,28.210044860839844,13436.2064453125,0.078125
99,-13346.5341796875,30.684347877502443,13348.9313671875,0.013347117,0.0024776286,0.01920652,0.008855729,0.017361427,0.07150015,1.0,0.0,0.0040143123,-13423.4580078125,28.050992012023926,13425.64951171875,0.078125
100,-13342.433896484376,30.678739337921144,13344.83068359375,0.0048569604,0.0031790372,0.013438213,0.00019224477,0.008647788,0.05200309,1.0,0.0,0.0037908263,-13447.8455078125,26.619769668579103,13449.9251953125,0.078125
101,-13342.8694140625,30.571355438232423,13345.257802734375,0.0112534845,0.0050160787,0.02121853,0.003475496,0.014269456,0.0869293,1.0,0.0,0.0030159713,-13445.950390625,28.3911470413208,13448.16845703125,0.078125
102,-13341.90615234375,30.520185432434083,13344.2905859375,0.014298275,0.004811481,0.02178953,0.0015371074,0.01817684,0.08424665,1.0,0.0,0.0038785632,-13438.76982421875,27.36432628631592,13440.90771484375,0.078125
