QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Bellman Errors 1 Mean,Bellman Errors 1 Std,Bellman Errors 1 Max,Bellman Errors 1 Min,Bellman Errors 2 Mean,Bellman Errors 2 Std,Bellman Errors 2 Max,Bellman Errors 2 Min,Policy Action Mean,Policy Action Std,Policy Action Max,Policy Action Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,touch_distance Mean,touch_distance Std,touch_distance Max,touch_distance Min,Final touch_distance Mean,Final touch_distance Std,Final touch_distance Max,Final touch_distance Min,hand_success Mean,hand_success Std,hand_success Max,hand_success Min,Final hand_success Mean,Final hand_success Std,Final hand_success Max,Final hand_success Min,obj_success Mean,obj_success Std,obj_success Max,obj_success Min,Final obj_success Mean,Final obj_success Std,Final obj_success Max,Final obj_success Min,hand_and_obj_success Mean,hand_and_obj_success Std,hand_and_obj_success Max,hand_and_obj_success Min,Final hand_and_obj_success Mean,Final hand_and_obj_success Std,Final hand_and_obj_success Max,Final hand_and_obj_success Min,touch_success Mean,touch_success Std,touch_success Max,touch_success Min,Final touch_success Mean,Final touch_success Std,Final touch_success Max,Final touch_success Min,hand_distance Mean,hand_distance Std,hand_distance Max,hand_distance Min,Final hand_distance Mean,Final hand_distance Std,Final hand_distance Max,Final hand_distance Min,obj_distance Mean,obj_distance Std,obj_distance Max,obj_distance Min,Final obj_distance Mean,Final obj_distance Std,Final obj_distance Max,Final obj_distance Min,hand_and_obj_distance Mean,hand_and_obj_distance Std,hand_and_obj_distance Max,hand_and_obj_distance Min,Final hand_and_obj_distance Mean,Final hand_and_obj_distance Std,Final hand_and_obj_distance Max,Final hand_and_obj_distance Min,total_pickups Mean,total_pickups Std,total_pickups Max,total_pickups Min,Final total_pickups Mean,Final total_pickups Std,Final total_pickups Max,Final total_pickups Min,AverageReturn,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.100326896,0.1002453,0.0052603795,-2.3932815e-05,0.00021624546,0.0003913743,-0.0006282099,-0.00019631091,0.00019544702,0.00039438927,-0.00067868805,-0.27335387,0.16007453,-0.00011045214,-0.7717025,0.100326896,0.10241728,0.5945886,1.6092047e-09,0.100245304,0.102437615,0.595518,2.855327e-10,0.00035659695,0.00029150327,0.00093329843,-0.00020522447,-0.23441724942388456,0.08468529042666616,-0.11228713119966896,-0.5227493935164491,-35.16258741358269,11.765770996344916,-23.7809614694975,-60.48949674410501,0.48009372,0.4378356,1.0,-0.99999994,7,-0.2881652029452608,0.06662790504902556,-0.15468600597048762,-0.45850906589032864,-43.22478044178912,8.286324707989694,-27.856445534066445,-54.2204230762485,-0.02335785064587673,0.5521248032245728,1.0,-1.0,0.20931438194112184,0.09109774406321793,0.40769099276866533,0.07772625768144166,0.24579489307018898,0.09438201641227996,0.40769099276866533,0.14820724021896758,0.47619047619047616,0.4994327848429293,1.0,0.0,0.42857142857142855,0.49487165930539345,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06603516711137397,0.03316123014649727,0.20777649475580046,0.015154572235469467,0.06892442865318484,0.02789209748258884,0.11938265969184562,0.03272889629263022,0.16838208231251062,0.07957317478553463,0.3437868913566066,0.0967750291176951,0.16838207086317222,0.07957317370496204,0.34378463296450745,0.0967750291176951,0.23441724942388456,0.08468529042666616,0.5227493935164491,0.11228713119966896,0.2373064995163571,0.08273496519188951,0.4141313821854881,0.12950392541032532,0.0,0.0,0,0,0.0,0.0,0,0,-35.16258741358269,3804,5000,33,13.431813395756762,0.0010991989984177053,1.7299860357597936,15.162898630514974,34.377581167645985,4
0.008139631,0.006210702,2.7615967,-2.990388,2.6263385,0.01742181,-9.178174,-2.9748297,2.6233935,0.05225265,-9.088765,-2.9285629,2.6159828,0.04435841,-8.846402,0.008139631,0.0140291825,0.11007256,2.3913e-06,0.006210702,0.010224335,0.075166136,2.5091828e-07,0.18664524,0.8388163,1.0,-1.0,-0.22394467024664155,0.07135306665439249,-0.08286196975315645,-0.33888917831022425,-33.59170053699624,9.820003760941049,-20.331460732856563,-44.36749869685263,0.14086562,0.43880334,0.99996555,-0.99999595,7,-0.2375946165497419,0.10855424247807996,-0.06869053184212942,-0.5482934996348242,-35.63919248246128,15.8857429369042,-17.259463613248702,-64.88745009091755,0.19831071210156592,0.5281207863539504,1.0,-1.0,0.26368276929612927,0.06639407329319692,0.3713930110668017,0.10301818088424865,0.2842150691832817,0.06149237752590247,0.3713930110668017,0.17467471942292723,0.4561904761904762,0.49807702780150653,1.0,0.0,0.14285714285714285,0.3499271061118826,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06213386885465598,0.029996571111150987,0.14448450079986186,0.0015507250746498468,0.0868868362722913,0.030135476724785584,0.11911821960790225,0.019043994125684256,0.16181080139198553,0.06618658696734088,0.24590573580712138,0.06682891621057609,0.1618107892324949,0.06618657927836925,0.24590226074261454,0.06682891621057609,0.22394467024664155,0.07135306665439249,0.33888917831022425,0.08286196975315645,0.24869762550478616,0.06914999016084011,0.3370919014165323,0.1717814466666852,0.0,0.0,0,0,0.0,0.0,0,0,-33.59170053699624,7804,6000,40,14.168261418031761,1.5745114109886345,1.7833266201196238,17.52609944914002,51.919219656832865,5
0.0050627524,0.0060799504,4.60022,-4.7256975,4.605527,0.23129469,-17.053905,-4.7635975,4.6194224,0.20715655,-17.139378,-4.7277145,4.6032233,0.22160594,-17.012722,0.0050627524,0.008509426,0.041483227,1.10698025e-07,0.0060799513,0.012277079,0.086030155,9.156728e-06,0.11302804,0.78123534,1.0,-1.0,-0.2266949094298807,0.048045809471853995,-0.10002487797994015,-0.3529806979626626,-34.0042364144821,5.752868306025496,-21.401768646913997,-41.595362264210145,-0.1440403,0.8061596,1.0,-1.0,6,-0.3022302976447937,0.06400711810982518,-0.16045120519021708,-0.4554827162695489,-45.33454464671905,8.37144946170409,-29.460160757354206,-55.985231230633666,-0.04165579277067556,0.5967011949430185,1.0,-1.0,0.18546548326981593,0.058486628055330406,0.30563513486774907,0.08008943385573473,0.20057655357868387,0.06699364103558793,0.30563513486774907,0.10820828087611106,0.37333333333333335,0.4836895239257881,1.0,0.0,0.2857142857142857,0.45175395145262565,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07247025852142114,0.03216130799445884,0.19148742516460124,0.004258024558042919,0.09057401985714256,0.032310661427883365,0.13159205402179988,0.04458549458991565,0.15422465090845955,0.036681180960047334,0.2130179320229434,0.0858451672741757,0.15422463863699434,0.03668117942860352,0.21301426673875706,0.0858451672741757,0.2266949094298807,0.048045809471853995,0.3529806979626626,0.10002487797994015,0.24479865849413693,0.0439803183260014,0.31180345284735544,0.16649265111974082,0.0,0.0,0,0,0.0,0.0,0,0,-34.0042364144821,11804,7000,46,13.840648641911685,1.5900573010003427,1.6933656236651586,17.124071566577186,68.77006406539294,6
0.00889192,0.0054718917,5.805124,-6.038089,5.843043,0.7519522,-20.468733,-6.0019035,5.8431168,0.801781,-20.556286,-5.9751105,5.829203,0.865262,-20.461851,0.00889192,0.012393262,0.071802855,5.503898e-08,0.0054718917,0.00926893,0.062050678,6.4173946e-09,-0.12577727,0.9013409,1.0,-1.0,-0.2202397684822512,0.08948688495711878,-0.048844933110841475,-0.4548511522094742,-33.035965272337684,13.193141566537948,-8.8334007993588,-53.11944886970166,0.10176909,0.37548754,1.0,-1.0,7,-0.26975830697622727,0.06096263888793594,-0.13915861770911325,-0.4516309452706388,-40.463746046434096,7.00110476611872,-28.586920492625687,-52.42431719178062,0.024893520244380678,0.6399166073020578,1.0,-1.0,0.23794296505107257,0.06488821707284534,0.3378263712018237,0.10829575825602596,0.24591804084822075,0.06802627503391681,0.33486637187019824,0.12881082722039822,0.9114285714285715,0.28412414647869144,1.0,0.0,1.0,0.0,1.0,1.0,0.14285714285714285,0.3499271061118826,1.0,0.0,0.14285714285714285,0.3499271061118826,1.0,0.0,0.1380952380952381,0.344999917841523,1.0,0.0,0.14285714285714285,0.3499271061118826,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04056228645425058,0.02152521124674983,0.1562000984892421,0.014124780324671335,0.03656130866682294,0.014261606869933314,0.053843619732613236,0.01504608431170975,0.1796774820280006,0.08154885926217978,0.2986510537202321,0.029644865512560053,0.1796774753716309,0.0815488574043559,0.29864960090079795,0.029644865512560053,0.2202397684822512,0.08948688495711878,0.4548511522094742,0.048844933110841475,0.2162387840384538,0.08726403810560304,0.35110779877153236,0.05678745331385729,0.0,0.0,0,0,0.0,0.0,0,0,-33.035965272337684,15804,8000,53,13.131750487023965,1.3167857239895966,1.779166676249588,16.22770288726315,85.23904229266918,7
0.014910878,0.012770561,7.447057,-7.652902,7.728359,0.87397945,-27.886948,-7.526614,7.686802,0.8791722,-27.73292,-7.5823555,7.7032905,0.8597575,-27.673405,0.014910878,0.025003742,0.13806896,1.7281573e-05,0.0127705615,0.023502573,0.13427465,3.1125182e-09,0.16330293,0.83975047,1.0,-1.0,-0.24332091849725834,0.10184032366269581,-0.0677138086688014,-0.5356745860034662,-36.498137774588756,14.927745709011813,-13.687561120022536,-61.50404269972117,0.02743159,0.51875967,1.0,-1.0,7,-0.1998751209852248,0.08827349448591708,-0.03615124432002531,-0.5004616751602663,-29.981268147783716,12.596782923796026,-11.825271542775571,-53.31285562517316,0.11270163193166595,0.5176266789223193,1.0,-1.0,0.23108836959108153,0.0889530608170207,0.37985608454304803,0.06657215548308586,0.2389472654371197,0.09469067030702766,0.37695978153491144,0.09243568005267576,0.8580952380952381,0.3489524329382369,1.0,0.0,1.0,0.0,1.0,1.0,0.14285714285714285,0.34992710611188255,1.0,0.0,0.14285714285714285,0.34992710611188266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03970851921694753,0.027140112830574815,0.1925476576397332,0.00786673151793013,0.030175321064657895,0.013687831399288425,0.0571765568277981,0.014534101545506436,0.20361239928031083,0.09619412778118425,0.34312692836373304,0.05984707715087128,0.203612877552727,0.09619345858394869,0.3431248770148928,0.05984707715087128,0.24332091849725834,0.10184032366269581,0.5356745860034662,0.0677138086688014,0.2337881986173849,0.09182184627733433,0.3842707350818007,0.0905341058963647,0.0,0.0,0,0,0.0,0.0,0,0,-36.498137774588756,19804,9000,60,13.921732574744965,1.5594026260077953,1.699153212728561,17.18028841348132,102.38963898114162,8
0.011726436,0.01334951,7.463073,-7.5595016,8.018574,1.0217234,-32.22911,-7.561263,8.033538,0.9976328,-32.250355,-7.542572,8.005629,0.9558486,-32.24846,0.011726437,0.041929584,0.45872945,1.7579066e-07,0.013349511,0.060886033,0.648133,4.7148205e-09,0.07294471,0.84627306,1.0,-1.0,-0.26514612525415815,0.06805943472220616,-0.15782615244291381,-0.5126395640579771,-39.77191878812373,9.510787784942009,-27.414458165346097,-57.37493501284412,-0.11678891,0.5183211,1.0,-1.0,6,-0.2656113232267307,0.12124660145834636,-0.045059975486751586,-0.5765062364990481,-39.841698484009605,17.738662499247926,-12.581501945634175,-67.04254111387525,0.12859264951680038,0.5809124134270662,1.0,-1.0,0.2699617997447532,0.04490242784956412,0.3618537530236599,0.16501227972593055,0.27520444922099074,0.04662905590021096,0.3618537530236599,0.20964311919157352,0.9038095238095238,0.2948522824750143,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03532679607953354,0.025431613957361352,0.19090344964295516,0.006209575836733139,0.026077350649373256,0.009937843859164793,0.039123033037233086,0.0078520470992826,0.2298193291746246,0.06179983996003817,0.3414364054880119,0.15161657660618066,0.2298193151289086,0.06179983943235494,0.3414341855217263,0.15161657660618066,0.26514612525415815,0.06805943472220616,0.5126395640579771,0.15782615244291381,0.2558966657782818,0.06238865099806875,0.3599597020761728,0.15946862370546327,0.0,0.0,0,0,0.0,0.0,0,0,-39.77191878812373,23804,10000,66,13.835901176149491,1.5287152319942834,1.6787950651196297,17.043411473263404,119.50683775443758,9
0.006901739,0.0070991805,8.013023,-8.028467,8.301524,1.6471593,-31.506407,-8.026077,8.300043,1.6577699,-31.58154,-8.058136,8.308915,1.6716793,-31.580608,0.00690174,0.011903297,0.07029091,7.3464577e-07,0.00709918,0.01733633,0.17593214,2.671768e-07,-0.02746706,0.8431539,1.0,-1.0,-0.161723580392334,0.05250550548249768,-0.0477258145192129,-0.3106871463202667,-24.25853705885009,7.572721652090025,-12.647406504344959,-36.415551981036124,0.03818932,0.28947043,0.99999976,-1.0,7,-0.24895499728588896,0.10396814433434541,-0.08429075835145179,-0.5361656553117718,-37.34324959288335,14.302838383507865,-15.387018863786745,-59.900647425706126,0.10189861046899554,0.5456535669004628,1.0,-1.0,0.17235067485740788,0.04491152805000456,0.26735239339386124,0.07431147671492704,0.17591425032398214,0.04870118646602144,0.26735239339386124,0.09911813292758613,0.9457142857142857,0.2265806159189353,1.0,0.0,0.8571428571428571,0.3499271061118826,1.0,0.0,0.14285714285714285,0.3499271061118826,1.0,0.0,0.14285714285714285,0.3499271061118826,1.0,0.0,0.004761904761904762,0.06884205854667123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03678777296389505,0.019163477102575068,0.1459952291099553,0.001436998775665549,0.04118757905186127,0.01936778348803495,0.06603422761900359,0.011906675192735111,0.12493580742843895,0.0537287158692334,0.2021088536950457,0.03495952732253245,0.12492329862541048,0.05373923825623404,0.20210591269880995,0.03495952732253245,0.161723580392334,0.05250550548249768,0.3106871463202667,0.0477258145192129,0.16611087767727176,0.05671504412405959,0.2681401403178135,0.08509028000986497,0.0,0.0,0,0,0.0,0.0,0,0,-24.25853705885009,27804,11000,73,14.763266629815917,1.602700196992373,1.802131357777398,18.168098184585688,137.68110903301567,10
0.007516946,0.009328883,9.36662,-9.469915,10.286228,1.1321025,-33.769947,-9.46509,10.290212,1.1557344,-33.51399,-9.489795,10.277483,1.1010709,-33.58833,0.007516946,0.0141058685,0.12613845,2.131385e-06,0.009328883,0.016217938,0.12532923,3.2820301e-07,0.20322323,0.79003036,1.0,-1.0,-0.24314365319262568,0.06887735255259103,-0.10950921925587398,-0.44157222202745794,-36.471547978893845,9.581378856853503,-17.193224686737956,-44.2551686620092,0.11004275,0.36656708,1.0,-0.9999971,7,-0.21848598018540982,0.0515472562553197,-0.11146611390169195,-0.4489209583563656,-32.77289702781147,6.753130187910403,-22.613414798508224,-41.78881255512268,0.05442656456903029,0.5071451985429107,1.0,-1.0,0.22992565980170818,0.05973531019387884,0.28410003587421917,0.100649025862257,0.2383979385034733,0.059841146453910456,0.28410003587421917,0.1121831000569498,0.900952380952381,0.2987259416398529,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03705713285612741,0.02693251712512932,0.20015641254084873,0.01039164904511533,0.029380295226748173,0.010839237077618096,0.04781378479752618,0.01100723179970766,0.20608652033649827,0.06201428073573305,0.25328830075464287,0.07822253172707057,0.20608650131631331,0.062014278596438946,0.25328620317768297,0.07822253172707057,0.24314365319262568,0.06887735255259103,0.44157222202745794,0.10950921925587398,0.2354667965430615,0.06087768741745771,0.28922602428078026,0.11005491223505223,0.0,0.0,0,0,0.0,0.0,0,0,-36.471547978893845,31804,12000,80,15.191059256991139,1.608752974003437,1.78423408009985,18.584046311094426,156.313754897099,11
0.00895007,0.01037434,9.502747,-9.713095,10.187496,1.248762,-35.903427,-9.715612,10.202921,1.3218054,-35.98358,-9.67654,10.178345,1.2008057,-35.9143,0.0089500705,0.023503924,0.22822759,2.3913922e-06,0.010374339,0.021476982,0.14950751,3.6964193e-06,0.14120007,0.7480094,1.0,-1.0,-0.2572255226676363,0.0788738323738107,-0.11623632725921818,-0.45586903099654225,-38.58382840014544,11.380844911303562,-22.451806872259407,-55.27898082324109,0.059369467,0.33886975,1.0,-0.9999999,6,-0.25302524656051434,0.08033049652998099,-0.06798391401223598,-0.46587344998344454,-37.953786984077155,11.28966951450016,-17.374433733178567,-51.959340679230934,0.07108287303591332,0.4623112911538257,1.0,-1.0,0.2548429176557092,0.050789818078604124,0.3241663632767923,0.19007935246419902,0.26132749805927813,0.05274942314319927,0.3241663632767923,0.192151468406607,0.6152380952380953,0.4865389824113744,1.0,0.0,0.7142857142857143,0.4517539514526256,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051771937334954256,0.0325632433191624,0.17613943066610466,0.004539000526501077,0.04280147370994674,0.02383895213153388,0.07611081171978215,0.013034159256283994,0.205453585332682,0.06462462393329896,0.2820432344215005,0.07907395271714301,0.20545356918964425,0.06462461934924212,0.2820405455307455,0.07907395271714301,0.2572255226676363,0.0788738323738107,0.45586903099654225,0.11623632725921818,0.24825504289959097,0.08151448137376455,0.35740413787043773,0.11623632725921818,0.0,0.0,0,0,0.0,0.0,0,0,-38.58382840014544,35804,13000,86,15.403154657105915,1.6572975029994268,1.814648604937247,18.87510076504259,175.21021960715007,12
0.0057842927,0.010226712,11.4678135,-11.539953,11.467629,1.9375004,-36.139435,-11.603899,11.4880295,1.8601742,-36.17387,-11.556606,11.471301,1.8728673,-36.17715,0.0057842927,0.009444633,0.050832234,1.0390431e-07,0.010226712,0.018257279,0.10813152,2.1836968e-07,-0.0136910435,0.75144655,1.0,-1.0,-0.20613803678245826,0.10755866425233997,-0.03722486418046661,-0.4613510722534604,-30.920705517368734,15.459797758474554,-10.288338515174972,-50.73960000177595,0.01568193,0.5408295,0.99999994,-1.0,7,-0.25796526142849846,0.08145166519500369,-0.12357227621779436,-0.508012448130404,-38.694789214274785,11.282989183837262,-22.087958951284268,-56.50232950999013,0.04208099505187599,0.5408603599748572,1.0,-1.0,0.20162776605593546,0.08320855417420948,0.3011352692265098,0.05916411617434455,0.2134779415545717,0.08196292445393094,0.3011352692265098,0.07375887608955416,0.7390476190476191,0.4391540001271358,1.0,0.0,1.0,0.0,1.0,1.0,0.19238095238095237,0.39417067564945785,1.0,0.0,0.14285714285714285,0.3499271061118826,1.0,0.0,0.09142857142857143,0.2882176048667084,1.0,0.0,0.14285714285714285,0.3499271061118826,1.0,0.0,0.029523809523809525,0.16926947212953475,1.0,0.0,0.0,0.0,0.0,0.0,0.04827874160324593,0.0332663371963883,0.21731892362493666,0.016248580390698947,0.03196058791260767,0.008284556772591664,0.044492948756521315,0.01933226672973559,0.15785929517921238,0.0997471337905356,0.2903730411934631,0.02097628378976766,0.1580142884321536,0.09959477200475454,0.2903710042507077,0.02097628378976766,0.20613803678245826,0.10755866425233997,0.4613510722534604,0.03722486418046661,0.18997487634476126,0.10493745369963742,0.33486395300722904,0.04716842668351068,0.0,0.0,0,0,0.0,0.0,0,0,-30.920705517368734,39804,14000,93,15.129973100833013,1.6803408810083056,1.7960353559756186,18.606349337816937,193.81483751193446,13
