QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Bellman Errors 1 Mean,Bellman Errors 1 Std,Bellman Errors 1 Max,Bellman Errors 1 Min,Bellman Errors 2 Mean,Bellman Errors 2 Std,Bellman Errors 2 Max,Bellman Errors 2 Min,Policy Action Mean,Policy Action Std,Policy Action Max,Policy Action Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,hand_distance Mean,hand_distance Std,hand_distance Max,hand_distance Min,Final hand_distance Mean,Final hand_distance Std,Final hand_distance Max,Final hand_distance Min,hand_distance_l1 Mean,hand_distance_l1 Std,hand_distance_l1 Max,hand_distance_l1 Min,Final hand_distance_l1 Mean,Final hand_distance_l1 Std,Final hand_distance_l1 Max,Final hand_distance_l1 Min,hand_distance_l2 Mean,hand_distance_l2 Std,hand_distance_l2 Max,hand_distance_l2 Min,Final hand_distance_l2 Mean,Final hand_distance_l2 Std,Final hand_distance_l2 Max,Final hand_distance_l2 Min,hand_success Mean,hand_success Std,hand_success Max,hand_success Min,Final hand_success Mean,Final hand_success Std,Final hand_success Max,Final hand_success Min,AverageReturn,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.031040803,0.031081092,0.003979558,4.8726164e-05,0.00020049546,0.0004778137,-0.00042366365,0.00021772296,0.00012751925,0.00051497325,-8.2362414e-05,-0.1449964,0.099996485,8.388487e-05,-0.37285846,0.031040803,0.032556824,0.13922764,7.913538e-09,0.031081093,0.03256174,0.13916378,9.389837e-10,-1.5042334e-05,0.00018798692,0.00035771058,-0.00031312677,-0.22116584572603676,0.06349229029107395,-0.05857937017456721,-0.32871996310393375,-11.058292286301835,3.1737771125680174,-2.9446933335675616,-16.380683356330323,-0.0026432301,0.0074473307,0.008330836,-0.008950613,20,-0.19341846661161366,0.0636859629932572,-0.04925014702247158,-0.32761164829305056,-9.670923330580681,2.2730406035297626,-4.343933121776317,-14.617452914260417,0.002886551553650401,0.3750126985329259,1.0,-1.0,0.22116584572603676,0.06349229029107395,0.32871996310393375,0.05857937017456721,0.21959466652152515,0.06333477834058393,0.3284836885224729,0.05857937017456721,0.3415632434762272,0.11198216428105176,0.5530257035073367,0.08876573906006291,0.33898282662023094,0.11181682025178538,0.5529736050709697,0.09292028737903486,0.22116584572603676,0.06349229029107395,0.32871996310393375,0.05857937017456721,0.21959466652152515,0.06333477834058393,0.3284836885224729,0.05857937017456721,0.04666666666666667,0.210923893594085,1.0,0.0,0.047619047619047616,0.21295885499998,1.0,0.0,-11.058292286301835,4,2000,40,0.09308931131090503,0.0011218860017834231,1.371165703254519,1.4653769005672075,13.7387136399484,1
0.025206082,0.024948988,0.03643045,-0.027168414,0.0024194121,-0.021611959,-0.03541412,-0.02809031,0.002713636,-0.022412986,-0.037372798,-0.14880604,0.1024572,2.7096501e-05,-0.41971818,0.025206082,0.03137339,0.1549379,1.5495559e-07,0.024948988,0.031126462,0.15374118,2.8149347e-07,-0.002723255,0.0077078477,0.009204197,-0.009731062,-0.04197744669037316,0.05144297965582897,-0.003520461781663218,-0.31366195662366836,-2.098872334518658,0.7293043857941116,-0.23106418511255955,-3.57804652288636,0.20155305,0.40446135,1.0,-0.9999524,20,-0.09547251900390419,0.06631111883345242,-0.006005363145918345,-0.3003731943839024,-4.773625950195209,2.5922922674841584,-1.9908594325515359,-10.92713692451923,0.16006207573110984,0.5268157614476386,1.0,-1.0,0.04197744669037316,0.05144297965582897,0.31366195662366836,0.003520461781663218,0.02423523687230276,0.014419471372418858,0.054652908453140615,0.003639712331268488,0.05869864162995655,0.07931234934679186,0.5249043479818201,0.005661537095238811,0.031587016085173204,0.01633180681939562,0.06633512043399617,0.005946455285352759,0.04197744669037316,0.05144297965582897,0.31366195662366836,0.003520461781663218,0.02423523687230276,0.014419471372418858,0.054652908453140615,0.003639712331268488,0.8676190476190476,0.33890446416012937,1.0,0.0,1.0,0.0,1.0,1.0,-2.098872334518658,4004,3000,60,13.631140963101643,1.4122294020053232,1.530456739172223,16.57382710427919,30.209362881199922,2
0.0020898376,0.0026993318,0.54374135,-0.6731577,0.53059834,-0.107505,-3.2240767,-0.67957807,0.53305674,-0.11205878,-3.256398,-0.6679984,0.5339667,-0.10321989,-3.139492,0.0020898376,0.004349778,0.032590073,6.759764e-08,0.0026993318,0.006651092,0.054224152,1.2496671e-08,0.31421742,0.7845641,1.0,-0.9999989,-0.0326069573740507,0.04647437422754149,-0.0018656267507478751,-0.2941594412154178,-1.630347868702535,0.5788153313677007,-0.6439800160229411,-2.521045724938106,0.12337324,0.38708124,1.0,-0.99999946,20,-0.042266471900907265,0.05057779589727103,-0.002813002733442485,-0.3210064981217032,-2.113323595045364,0.7319921394215531,-0.9166297313165878,-3.6101543839402233,0.12073832988199475,0.501265982779768,1.0,-1.0,0.0326069573740507,0.04647437422754149,0.2941594412154178,0.0018656267507478751,0.016624628171319576,0.007610661942704606,0.031105180788817542,0.002812151196687353,0.04603034175977967,0.06818704534236292,0.4989640387789809,0.0031918043794770395,0.023881874387865407,0.011291507501748801,0.0460290781382446,0.0043205767545128615,0.0326069573740507,0.04647437422754149,0.2941594412154178,0.0018656267507478751,0.016624628171319576,0.007610661942704606,0.031105180788817542,0.002812151196687353,0.8828571428571429,0.3215904354349882,1.0,0.0,1.0,0.0,1.0,1.0,-1.630347868702535,8004,4000,80,13.470535988162737,1.3111367060046177,1.4952285291947192,16.276901223362074,46.49061029458244,3
0.0010776644,0.0011472055,0.67334396,-0.80366904,0.70429945,-0.17417191,-3.9379365,-0.79618776,0.7020868,-0.17584462,-3.9324481,-0.80025136,0.7075594,-0.18237002,-4.0611544,0.0010776644,0.0023016387,0.017211521,8.724392e-08,0.0011472055,0.002156087,0.01656529,7.042377e-08,0.21094656,0.8431561,1.0,-1.0,-0.02840273437115895,0.044519775194531236,-0.002729790537073083,-0.31563736283710614,-1.4201367185579474,0.5856028966288389,-0.44535939879482994,-2.751793003090377,0.10817772,0.38961387,1.0,-0.9999993,20,-0.03559521744005832,0.04268178944947377,-0.002185434023490406,-0.2721104531273474,-1.779760872002916,0.46554970688714375,-0.937154707539388,-2.8871101683060076,0.08038131679243346,0.4723651414954754,1.0,-1.0,0.02840273437115895,0.044519775194531236,0.31563736283710614,0.002729790537073083,0.012700608970148096,0.004578006286014403,0.02302718476142044,0.005346141104104989,0.039399352552982714,0.06511662867000449,0.5419461562810406,0.003756936504083236,0.018100785529967044,0.007578857459065833,0.03772970363325509,0.005961853527066893,0.02840273437115895,0.044519775194531236,0.31563736283710614,0.002729790537073083,0.012700608970148096,0.004578006286014403,0.02302718476142044,0.005346141104104989,0.8838095238095238,0.3204531938257233,1.0,0.0,1.0,0.0,1.0,1.0,-1.4201367185579474,12004,5000,100,14.599057516141329,1.3129991410096409,1.5960415160370758,17.508098173188046,64.02142209575686,4
0.0024381808,0.0015727541,0.77043074,-0.88173604,0.6929185,-0.2769079,-3.5639446,-0.8711611,0.6835034,-0.27742,-3.52627,-0.84985745,0.6750464,-0.26312554,-3.4491205,0.002438181,0.0042387927,0.026892805,1.06455914e-07,0.0015727542,0.0031255935,0.025144234,1.7562826e-07,0.21373296,0.827212,1.0,-1.0,-0.030349955158373056,0.04682884208585426,-0.0015088868462819283,-0.2902730714413327,-1.5174977579186528,0.3634212910835769,-0.9431412560779625,-2.295289125534781,0.0722106,0.36132053,1.0,-0.99999934,20,-0.037065667701252816,0.04727209197465259,-0.0017235873653639502,-0.28031469930442215,-1.8532833850626411,0.5868799206821724,-0.8247544107727075,-2.898412245005312,0.09752714430645264,0.4793452591631803,1.0,-1.0,0.030349955158373056,0.04682884208585426,0.2902730714413327,0.0015088868462819283,0.013842950131158317,0.005134033499610627,0.021522439014507518,0.0015167688391861547,0.04406472952957465,0.07303870082043701,0.500212543325019,0.002146928380341556,0.018955557033152763,0.006660068654696018,0.030424566071996173,0.0021477518473047297,0.030349955158373056,0.04682884208585426,0.2902730714413327,0.0015088868462819283,0.013842950131158317,0.005134033499610627,0.021522439014507518,0.0015167688391861547,0.8847619047619047,0.31930906132459025,1.0,0.0,1.0,0.0,1.0,1.0,-1.5174977579186528,16004,6000,120,14.7824831490434,1.3364259859954473,1.599455797986593,17.71836493302544,81.8122157437756,5
0.00069298735,0.00085816276,0.7496804,-0.8670102,0.59465873,-0.32719353,-3.2485096,-0.8646615,0.5983174,-0.32447544,-3.3267105,-0.86512333,0.59356207,-0.31398824,-3.2639902,0.00069298735,0.0016735209,0.010636113,4.9677817e-09,0.0008581628,0.002568176,0.025783,8.183747e-08,0.017637188,0.8375744,1.0,-1.0,-0.030435567545528973,0.04958228548965871,-0.00522538256372634,-0.29247782376049714,-1.5217783772764486,0.3976344054009162,-0.7276670701860349,-2.3915493255093763,0.13038234,0.39166477,1.0,-0.9999996,20,-0.036797102476358874,0.04757613925188482,-0.0017876277450108856,-0.3241872848398235,-1.8398551238179437,0.45701905390187264,-0.990135540573426,-2.904759230950516,0.07779922411208252,0.4909356755422093,1.0,-1.0,0.030435567545528973,0.04958228548965871,0.29247782376049714,0.00522538256372634,0.011394454640537366,0.004582201612061347,0.01996304178343661,0.00542255875210581,0.04421575568017681,0.0740887235143429,0.4594395123155397,0.008393030262154044,0.01692145996072869,0.006230371516517882,0.026887159993602458,0.008839107069029822,0.030435567545528973,0.04958228548965871,0.29247782376049714,0.00522538256372634,0.011394454640537366,0.004582201612061347,0.01996304178343661,0.00542255875210581,0.8704761904761905,0.3357787847530714,1.0,0.0,1.0,0.0,1.0,1.0,-1.5217783772764486,20004,7000,140,15.10284244189097,1.408513172995299,1.680522779133753,18.191878394020023,100.03128848978668,6
0.00093567726,0.0010815368,0.8600105,-0.9466938,0.68666786,-0.3331809,-4.1820755,-0.9521129,0.6844004,-0.34415254,-4.1389813,-0.95966136,0.69262403,-0.34370056,-4.2337065,0.0009356772,0.0036452136,0.039433174,3.8291464e-08,0.0010815368,0.004651982,0.05086363,6.118661e-10,0.15650399,0.8499974,1.0,-1.0,-0.033551433264845436,0.04448732273081103,-0.005169172466799211,-0.28240927150261574,-1.677571663242272,0.5200641130574519,-0.5732598320563617,-2.7504451468585143,0.1156082,0.38450727,1.0,-0.9999991,20,-0.03855912313485387,0.05002613444335095,-0.0020094538296401413,-0.28416015732971217,-1.9279561567426935,0.3789503990064893,-1.385920965623363,-2.6283751397526345,0.09075761379793304,0.4610959449439081,1.0,-1.0,0.033551433264845436,0.04448732273081103,0.28240927150261574,0.005169172466799211,0.018959540364722013,0.0069940780380035525,0.029369469525187437,0.007891085050311098,0.04947230487955065,0.06775670033971806,0.4677157220745157,0.008256563553492746,0.02778633046725933,0.009753416332362269,0.04690157650736493,0.01335674890723669,0.033551433264845436,0.04448732273081103,0.28240927150261574,0.005169172466799211,0.018959540364722013,0.0069940780380035525,0.029369469525187437,0.007891085050311098,0.8885714285714286,0.3146621122695886,1.0,0.0,1.0,0.0,1.0,1.0,-1.677571663242272,24004,8000,160,15.276022555190139,1.4382594140042784,1.6766948430304183,18.390976812224835,118.40472636502818,7
0.0008532458,0.0009303822,0.9499457,-1.0730858,0.7436521,-0.33168465,-4.3379207,-1.0668517,0.73798287,-0.33686933,-4.3987927,-1.0663986,0.73659927,-0.34034035,-4.3604827,0.00085324585,0.001650902,0.008296926,3.29194e-07,0.0009303822,0.0015936908,0.007829512,8.9477545e-09,0.2557029,0.8346273,1.0,-1.0,-0.03400827750581894,0.0468194746600357,-0.006690197322458419,-0.3150663362372817,-1.700413875290947,0.43473616647525715,-0.9908735011760059,-2.5138527507009556,0.109949216,0.3785181,1.0,-0.9999971,20,-0.03404561378592015,0.04563405622880236,-0.00028487788989113816,-0.2951753341339391,-1.7022806892960074,0.5178329342636477,-0.9206882580024638,-2.90618144325225,0.07552490643551041,0.4552730875697991,1.0,-1.0,0.03400827750581894,0.0468194746600357,0.3150663362372817,0.006690197322458419,0.017487060338679392,0.003942585006522826,0.02446257967292331,0.009402163033851883,0.05215108101213132,0.06989451953035429,0.5336177482141156,0.009857846692381086,0.028648369187087443,0.006624083646260371,0.03886353972323485,0.01562476131537531,0.03400827750581894,0.0468194746600357,0.3150663362372817,0.006690197322458419,0.017487060338679392,0.003942585006522826,0.02446257967292331,0.009402163033851883,0.8761904761904762,0.32936412315791586,1.0,0.0,1.0,0.0,1.0,1.0,-1.700413875290947,28004,9000,180,14.95731666404754,1.4203115179989254,1.6290608958952362,18.0066890779417,136.4398945239518,8
0.001331355,0.0013290711,1.0331447,-1.1058438,0.63541687,-0.38529426,-3.9907107,-1.1032653,0.63505733,-0.39244014,-4.0136523,-1.1119967,0.6500196,-0.41553557,-4.123014,0.001331355,0.0034161827,0.024008585,5.471467e-09,0.0013290711,0.0032498522,0.021606779,9.508824e-09,0.41035548,0.77160877,1.0,-1.0,-0.030985414411581053,0.05057160239252243,-0.006253413549743782,-0.30628434966249685,-1.5492707205790528,0.5155464909161191,-0.6979474806397147,-2.1677382257592166,0.10766252,0.36980987,1.0,-0.999981,20,-0.03860384257569655,0.05061839390007675,-0.001202211449171442,-0.2914171918073287,-1.930192128784828,0.4901868391957229,-0.9844397561340442,-2.9640714934757826,0.12200007078854572,0.45608839316103694,1.0,-1.0,0.030985414411581053,0.05057160239252243,0.30628434966249685,0.006253413549743782,0.012277065444847286,0.003603272378679579,0.02111556060630182,0.006253413549743782,0.04592224068794179,0.07567866065821989,0.5037272005739237,0.01000913882349988,0.019225660791154883,0.006057725481765288,0.034310482837653436,0.01000913882349988,0.030985414411581053,0.05057160239252243,0.30628434966249685,0.006253413549743782,0.012277065444847286,0.003603272378679579,0.02111556060630182,0.006253413549743782,0.8761904761904762,0.32936412315791586,1.0,0.0,1.0,0.0,1.0,1.0,-1.5492707205790528,32004,10000,200,14.86289144399052,1.447852597993915,1.624495679847314,17.93523972183175,154.32049860879488,9
0.0011694903,0.0012155678,1.0901486,-1.1981671,0.66003066,-0.43401253,-3.8095534,-1.1961854,0.6596368,-0.4876195,-3.7985995,-1.2061083,0.6550479,-0.47338063,-3.8701863,0.0011694903,0.002551886,0.019575404,3.159188e-08,0.0012155679,0.0025715593,0.017283473,7.517542e-10,0.23736988,0.8593845,1.0,-1.0,-0.028368321693174985,0.04523695673613926,-0.005992167942162552,-0.26485631475359445,-1.4184160846587492,0.5402119685227119,-0.47207159960164113,-2.165645436941543,0.09103339,0.34220478,1.0,-0.99999756,20,-0.033653357100959895,0.045069109286340316,-0.0024834093311360923,-0.261235914316077,-1.6826678550479948,0.5852381203793713,-0.5956625302548093,-2.516251131606067,0.05714957111677947,0.4673877817651594,1.0,-1.0,0.028368321693174985,0.04523695673613926,0.26485631475359445,0.005992167942162552,0.012717620424384827,0.004314256890983759,0.018752561070734024,0.006410076012084451,0.04016531469348848,0.0661512907335668,0.4427091966253276,0.00818477775163827,0.018042888023171368,0.0049461292056316546,0.026058426425122294,0.010781234563707276,0.028368321693174985,0.04523695673613926,0.26485631475359445,0.005992167942162552,0.012717620424384827,0.004314256890983759,0.018752561070734024,0.006410076012084451,0.8895238095238095,0.3134823787935439,1.0,0.0,1.0,0.0,1.0,1.0,-1.4184160846587492,36004,11000,220,14.790501101771952,1.3924327589920722,1.6523994139715796,17.835333274735603,172.18853982350265,10
